Caja_Rural_de_Asturias Caja_Rural_de_Asturias NP0000O 1.0
prevé prever VMIP3S0 1.0
obtener obtener VMN0000 1.0
este este DD0MS0 1.0
ejercicio ejercicio NCMS000 1.0
unos uno DI0MP0 1.0
beneficios beneficio NCMP000 1.0
netos neto AQ0MP0 1.0
de de SPS00 1.0
2.237 2237  1.0
millones millón NCMP000 1.0
de de SPS00 1.0
pesetas peseta ZM 1.0
, , FC 1.0
lo el DA0NS0 1.0
que que PR0CN000 1.0
supone suponer VMIP3S0 1.0
un uno DI0MS0 1.0
incremento incremento NCMS000 1.0
del del SPCMS 1.0
5_por_ciento 5_% ZP 1.0
respecto_a respecto_a SPS00 1.0
1999 [??:??/??/1999:??.??]  1.0
, , FC 1.0
con con SPS00 1.0
lo el DA0NS0 1.0
que que PR0CN000 1.0
volverá volver VMIF3S0 1.0
a a SPS00 1.0
batir batir VMN0000 1.0
su su DP3CS0 1.0
" " FE 1.0
récord récord NCMS000 1.0
" " FE 1.0
de de SPS00 1.0
rentabilidad rentabilidad NCFS000 1.0
, , FC 1.0
según según CS 1.0
indicó indicar VMIS3S0 1.0
el el DA0MS0 1.0
presidente presidente NCMS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
entidad entidad NCFS000 1.0
, , FC 1.0
Román_Suárez_Blanco Román_Suárez_Blanco NP0000P 1.0
. . FP 1.0
Suárez_Blanco Suárez_Blanco NP0000P 1.0
presentó presentar VMIS3S0 1.0
hoy hoy RG 1.0
ante ante SPS00 1.0
la el DA0FS0 1.0
Asamblea_General_Ordinaria_de_Caja_Rural Asamblea_General_Ordinaria_de_Caja_Rural NP0000O 1.0
las el DA0FP0 1.0
cuentas cuenta NCFP000 1.0
anuales anual AQ0CP0 1.0
de de SPS00 1.0
1999 [??:??/??/1999:??.??]  1.0
y y CC 1.0
avanzó avanzar VMIS3S0 1.0
los el DA0MP0 1.0
resultados resultado NCMP000 1.0
del del SPCMS 1.0
actual actual AQ0CS0 1.0
ejercicio ejercicio NCMS000 1.0
en en SPS00 1.0
el el DA0MS0 1.0
que que PR0CN000 1.0
, , FC 1.0
durante durante SPS00 1.0
los el DA0MP0 1.0
cinco cinco DN0CP0 1.0
primeros primero AO0MP0 1.0
meses mes NCMP000 1.0
, , FC 1.0
la el DA0FS0 1.0
sociedad sociedad NCFS000 1.0
logró lograr VMIS3S0 1.0
unos uno DI0MP0 1.0
beneficios beneficio NCMP000 1.0
después después RG 1.0
de de SPS00 1.0
impuestos impuesto NCMP000 1.0
de de SPS00 1.0
962 962  1.0
millones millón NCMP000 1.0
de de SPS00 1.0
pesetas peseta ZM 1.0
, , FC 1.0
un uno DI0MS0 1.0
1,32_por_ciento 1,32_% ZP 1.0
más más RG 1.0
que que CS 1.0
en en SPS00 1.0
el el DA0MS0 1.0
mismo mismo DI0MS0 1.0
periodo periodo NCMS000 1.0
del del SPCMS 1.0
pasado pasado AQ0MSP 1.0
año año NCMS000 1.0
. . FP 1.0
Según según SPS00 1.0
el el DA0MS0 1.0
