Miles mil PN0CP000 1.0
de de SPS00 1.0
ciudadanos ciudadano NCMP000 1.0
se él P0300000 1.0
manifestaron manifestar VMIS3P0 1.0
ayer ayer RG 1.0
en en SPS00 1.0
toda todo DI0FS0 1.0
España España NP00000 1.0
para para SPS00 1.0
condenar condenar VMN0000 1.0
el el DA0MS0 1.0
asesinato asesinato NCMS000 1.0
, , FC 1.0
a a SPS00 1.0
manos mano NCFP000 1.0
de de SPS00 1.0
ETA ETA NP00000 1.0
, , FC 1.0
del del SPCMS 1.0
ex ex AQ0CN0 1.0
gobernador gobernador NCMS000 1.0
civil civil AQ0CS0 1.0
de de SPS00 1.0
Guipúzcoa Guipúzcoa NP00000 1.0
Juan_María_Jáuregui Juan_María_Jáuregui NP00000 1.0
. . FP 1.0
Los el DA0MP0 1.0
ayuntamientos ayuntamiento NCMP000 1.0
de de SPS00 1.0
Vitoria Vitoria NP00000 1.0
y y CC 1.0
Pamplona Pamplona NP00000 1.0
, , FC 1.0
además además RG 1.0
, , FC 1.0
suscribieron suscribir VMIS3P0 1.0
sendos sendos DI0MP0 1.0
escritos escrito NCMP000 1.0
de de SPS00 1.0
condena condena NCFS000 1.0
por por SPS00 1.0
el el DA0MS0 1.0
crimen crimen NCMS000 1.0
, , FC 1.0
de de SPS00 1.0
los el DA0MP0 1.0
que que PR0CN000 1.0
EH EH NP00000 1.0
se él P0300000 1.0
desmarcó desmarcar VMIS3S0 1.0
con con SPS00 1.0
su su DP3CS0 1.0
abstención abstención NCFS000 1.0
. . FP 1.0
En en SPS00 1.0
Vitoria Vitoria NP00000 1.0
, , FC 1.0
600 600  1.0
personas persona NCFP000 1.0
guardaron guardar VMIS3P0 1.0
15 15  1.0
minutos minuto NCMP000 1.0
de de SPS00 1.0
silencio silencio NCMS000 1.0
, , FC 1.0
rotos roto AQ0MPP 1.0
por por SPS00 1.0
una uno DI0FS0 1.0
salva salva NCFS000 1.0
de de SPS00 1.0
aplausos aplauso NCMP000 1.0
, , FC 1.0
como como CS 1.0
muestra muestra NCFS000 1.0
de de SPS00 1.0
dolor dolor NCMS000 1.0
y y CC 1.0
de de SPS00 1.0
condena condena NCFS000 1.0
por por SPS00 1.0
la el DA0FS0 1.0
muerte muerte NCFS000 1.0
de de SPS00 1.0
Jáuregui Jáuregui NP00000 1.0
. . FP 1.0
Estuvieron estar VMIS3P0 1.0
presentes presente AQ0CP0 1.0
el el DA0MS0 1.0
alcalde alcalde NCMS000 1.0
la el DA0FS0 1.0
ciudad ciudad NCFS000 1.0
, , FC 1.0
el el DA0MS0 1.0
popular popular AQ0CS0 1.0
Alfonso_Alonso Alfonso_Alonso NP00000 1.0
, , FC 1.0
y y CC 1.0
el el DA0MS0 1.0
delegado delegado NCMS000 1.0
del del SPCMS 1.0
gobierno gobierno NCMS000 1.0
en en SPS00 1.0
Euskadi Euskadi NP00000 1.0
, , FC 1.0
Enrique_Villar Enrique_Villar NP00000 1.0
. . FP 1.0
En en SPS00 1.0
Barcelona Barcelona NP00000 1.0
, , FC 1.0
una uno DI0FS0 1.0
concentración concentración NCFS000 1.0
silenciosa silencioso AQ0FS0 1.0
de de SPS00 1.0
cinco cinco DN0CP0 1.0
minutos minuto NCMP000 1.0
en en SPS00 1.0
la el DA0FS0 1.0
plaza plaza NCFS000 1.0
de de SPS00 1.0
Sant_Jaume Sant_Jaume NP00000 1.0
reunió reunir VMIS3S0 1.0
