Suponen suponer VMIP3P0 1.0
los el DA0MP0 1.0
primeros primero AO0MP0 1.0
( ( FPA 1.0
a a NC00000 1.0
) ) FPT 1.0
el el DA0MS0 1.0
empleo empleo NCMS000 1.0
de de SPS00 1.0
polímeros polímero NCMP000 1.0
derivados derivado AQ0MPP 1.0
de de SPS00 1.0
acetileno acetileno NCMS000 1.0
o o CC 1.0
heterociclos heterociclo NCMP000 1.0
a a SPS00 1.0
los el DA0MP0 1.0
que que PR0CN000 1.0
se se P0000000 1.0
somete someter VMIP3S0 1.0
a a SPS00 1.0
- - FG 1.0
dopado dopado NCMS000 1.0
- - FG 1.0
. . FP 1.0
Es ser VSIP3S0 1.0
éste este PD0MS000 1.0
un uno DI0MS0 1.0
término término NCMS000 1.0
tomado tomado AQ0MSP 1.0
de de SPS00 1.0
los el DA0MP0 1.0
semiconductores semiconductor NCMP000 1.0
metálicos metálico AQ0MP0 1.0
de de SPS00 1.0
modo modo NCMS000 1.0
un_tanto un_tanto RG 1.0
libre libre AQ0CS0 1.0
, , FC 1.0
pues pues CS 1.0
en en SPS00 1.0
los el DA0MP0 1.0
polímeros polímero NCMP000 1.0
orgánicos orgánico AQ0MP0 1.0
conductores conductor AQ0MP0 1.0
exige exigir VMIP3S0 1.0
la el DA0FS0 1.0
adición adición NCFS000 1.0
de de SPS00 1.0
cantidades cantidad NCFP000 1.0
notables notable AQ0CP0 1.0
de de SPS00 1.0
- - FG 1.0
agente agente NCMS000 1.0
dopante dopante AQ0CS0 1.0
- - FG 1.0
, , FC 1.0
a_veces a_veces RG 1.0
con con SPS00 1.0
importantes importante AQ0CP0 1.0
cambios cambio NCMP000 1.0
estructurales estructural AQ0CP0 1.0
en en SPS00 1.0
el el DA0MS0 1.0
polímero polímero NCMS000 1.0
. . FP 1.0
Como como CS 1.0
veremos ver VMIF1P0 1.0
, , FC 1.0
se se P0000000 1.0
logra lograr VMIP3S0 1.0
con con SPS00 1.0
ello él PP3NS000 1.0
un uno DI0MS0 1.0
sistema sistema NCMS000 1.0
conductor conductor AQ0MS0 1.0
. . FP 1.0
El el DA0MS0 1.0
tipo tipo NCMS000 1.0
( ( FPA 1.0
b b NC00000 1.0
) ) FPT 1.0
consiste consistir VMIP3S0 1.0
en en SPS00 1.0
la el DA0FS0 1.0
formación formación NCFS000 1.0
de de SPS00 1.0
complejos complejo NCMP000 1.0
de de SPS00 1.0
metalomacrociclos metalomacrociclo NCMP000 1.0
, , FC 1.0
generalmente generalmente RG 1.0
de de SPS00 1.0
naturaleza naturaleza NCFS000 1.0
porfirínica porfirínico AQ0FS0 1.0
. . FP 1.0
Su su DP3CS0 1.0
carácter carácter NCMS000 1.0
quasi-unidimensional quasi-unidimensional AQ0CS0 1.0
les él PP3CPD00 1.0
permite permitir VMIP3S0 1.0
conducir conducir VMN0000 1.0
electrones electrón NCMP000 1.0
a_lo_largo_de a_lo_largo_de SPS00 1.0
la el DA0FS0 1.0
dirección dirección NCFS000 1.0
de de SPS00 1.0
su su DP3CS0 1.0
eje eje NCMS000 1.0
. . FP 1.0
El el DA0MS0 1.0
tercer tercero AO0MS0 1.0
tipo tipo NCMS000 1.0
( ( FPA 1.0
c c NC00000 1.0
) ) FPT 1.0
de de SPS00 1.0
materiales material NCMP000 1.0
orgánicos orgánico AQ0MP0 1.0
conductores conductor AQ0MP0 1.0
, , FC 1.0
en en SPS00 1.0
los el DA0MP0 1.0
que que PR0CN000 1.0
se él P0300000 1.0
encuadra encuadrar VMIP3S0 1.0
la el DA0FS0 1.0
labor labor NCFS000 1.0
investigadora investigador AQ0FS0 1.0
de de SPS00 1.0
los el DA0MP0 1.0
autores autor NCMP000 1.0
, , FC 1.0
son ser VSIP3P0 1.0
los el DA0MP0 1.0
llamados llamado AQ0MPP 1.0
complejos complejo NCMP000 1.0
de de SPS00 1.0
transferencia transferencia NCFS000 1.0
de de SPS00 1.0
carga carga NCFS000 1.0
o o CC 1.0
, , FC 1.0
abreviadamente abreviadamente RG 1.0
, , FC 1.0
C C NP0000A 1.0
. . FP 1.0
Se se P0000000 1.0
pretende pretender VMIP3S0 1.0
con con SPS00 1.0
esta este DD0FS0 1.0
denominación denominación NCFS000 1.0
definir definir VMN0000 1.0
la el DA0FS0 1.0
transferencia transferencia NCFS000 1.0
parcial parcial AQ0CS0 1.0
de de SPS00 1.0
un uno DI0MS0 1.0
electrón electrón NCMS000 1.0
de de SPS00 1.0
una uno DI0FS0 1.0
molécula molécula NCFS000 1.0
dadora dador AQ0FS0 1.0
a a SPS00 1.0
una uno DI0FS0 1.0
molécula molécula NCFS000 1.0
aceptora aceptor AQ0FS0 1.0
formando formar VMG0000 1.0
un uno DI0MS0 1.0
cristal cristal NCMS000 1.0
de de SPS00 1.0
tipo tipo NCMS000 1.0
iónico iónico AQ0MS0 1.0
en en SPS00 1.0
el el DA0MS0 1.0
que que PR0CN000 1.0
los el DA0MP0 1.0
aniones anión NCMP000 1.0
o o CC 1.0
los el DA0MP0 1.0
cationes catión NCMP000 1.0
, , FC 1.0
o o CC 1.0
ambos ambos PN0MP000 1.0
