Eduardo_Portela Eduardo_Portela NP00000 1.0
, , FC 1.0
presidente presidente NCMS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
Asociación_de_Clubes_de_Baloncesto Asociación_de_Clubes_de_Baloncesto NP00000 1.0
, , FC 1.0
ha haber VAIP3S0 1.0
recibido recibir VMP00SM 1.0
el el DA0MS0 1.0
pronunciamiento pronunciamiento NCMS000 1.0
sobre sobre SPS00 1.0
la el DA0FS0 1.0
contratación contratación NCFS000 1.0
de de SPS00 1.0
jugadores jugador NCMP000 1.0
nacionales nacional AQ0CP0 1.0
de de SPS00 1.0
países país NCMP000 1.0
candidatos candidato NCMP000 1.0
a a SPS00 1.0
la el DA0FS0 1.0
adhesión adhesión NCFS000 1.0
a a SPS00 1.0
la el DA0FS0 1.0
Comunidad_Europea Comunidad_Europea NP00000 1.0
emitido emitido AQ0MSP 1.0
por por SPS00 1.0
la el DA0FS0 1.0
titular titular AQ0CS0 1.0
de de SPS00 1.0
Trabajo Trabajo NP00000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
Comisión_Europea Comisión_Europea NP00000 1.0
, , FC 1.0
la el DA0FS0 1.0
griega griega NCFS000 1.0
Anna_Diamantoupoulou Anna_Diamantoupoulou NP00000 1.0
, , FC 1.0
como como CS 1.0
un uno DI0MS0 1.0
respaldo respaldo NCMS000 1.0
moral moral AQ0CS0 1.0
a a SPS00 1.0
las el DA0FP0 1.0
posiciones posición NCFP000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
ACB ACB NP00000 1.0
en en SPS00 1.0
este este DD0MS0 1.0
asunto asunto NCMS000 1.0
. . FP 1.0
Portela Portela NP00000 1.0
considera considerar VMIP3S0 1.0
que que CS 1.0
la el DA0FS0 1.0
respuesta respuesta NCFS000 1.0
de de SPS00 1.0
Diamantoupoulou Diamantoupoulou NP00000 1.0
, , FC 1.0
cuyo cuyo PR0MS000 1.0
escrito escrito NCMS000 1.0
señala señalar VMIP3S0 1.0
que que CS 1.0
" " FE 1.0
los el DA0MP0 1.0
trabajadores trabajador NCMP000 1.0
de de SPS00 1.0
los el DA0MP0 1.0
países país NCMP000 1.0
candidatos candidato NCMP000 1.0
con con SPS00 1.0
un uno DI0MS0 1.0
empleo empleo NCMS000 1.0
legal legal AQ0CS0 1.0
en en SPS00 1.0
un uno DI0MS0 1.0
Estado Estado NP00000 1.0
miembro miembro NCMS000 1.0
deben deber VMIP3P0 1.0
recibir recibir VMN0000 1.0
el el DA0MS0 1.0
mismo mismo DI0MS0 1.0
trato trato NCMS000 1.0
que que CS 1.0
los el DA0MP0 1.0
nacionales nacional AQ0CP0 1.0
de de SPS00 1.0
este este DD0MS0 1.0
Estado Estado NP00000 1.0
miembro miembro NCMS000 1.0
por por SPS00 1.0
lo el DA0NS0 1.0
que que PR0CN000 1.0
se él P0300000 1.0
refiere referir VMIP3S0 1.0
a a SPS00 1.0
las el DA0FP0 1.0
condiciones condición NCFP000 1.0
laborales laboral AQ0CP0 1.0
, , FC 1.0
la el DA0FS0 1.0
remuneración remuneración NCFS000 1.0
y y CC 1.0
el el DA0MS0 1.0
despido despido NCMS000 1.0
" " FE 1.0
, , FC 1.0
avala avalar VMIP3S0 1.0
las el DA0FP0 1.0
tesis tesis NCFN000 1.0
defendidas defendido AQ0FPP 1.0
por por SPS00 1.0
la el DA0FS0 1.0
Asociación_de_Clubes Asociación_de_Clubes NP00000 1.0
. . FP 1.0
" " FE 1.0
El el DA0MS0 1.0
pronunciamiento pronunciamiento NCMS000 1.0
