Imagínense imaginar VMM03P0 1.0
. . FP 1.0
No no RN 1.0
hablaríamos hablar VMIC1P0 1.0
ya ya RG 1.0
de de SPS00 1.0
la el DA0FS0 1.0
renta renta NCFS000 1.0
per_cápita per_cápita AQ0CN0 1.0
, , FC 1.0
sino sino CC 1.0
de de SPS00 1.0
las el DA0FP0 1.0
ratas rata NCFP000 1.0
per_cápita per_cápita AQ0CN0 1.0
, , FC 1.0
y y CC 1.0
los el DA0MP0 1.0
gobernantes gobernante NCCP000 1.0
lo él PP3MSA00 1.0
proclamarían proclamar VMIC3P0 1.0
con con SPS00 1.0
jactancia jactancia NCFS000 1.0
de de SPS00 1.0
ratitas ratita NCFP000 1.0
presumidas presumido AQ0FP0 1.0
. . FP 1.0
¡ ¡ FAA 1.0
gran gran AQ0CS0 1.0
éxito éxito NCMS000 1.0
! ! FAT 1.0
, , FC 1.0
¡ ¡ FAA 1.0
despegue despegue NCMS000 1.0
económico económico AQ0MS0 1.0
! ! FAT 1.0
, , FC 1.0
¡ ¡ FAA 1.0
durante durante SPS00 1.0
esta este DD0FS0 1.0
legislatura legislatura NCFS000 1.0
hemos haber VAIP1P0 1.0
pasado pasar VMP00SM 1.0
de de SPS00 1.0
una uno DN0FS0 1.0
rata rata NCFS000 1.0
y y CC 1.0
media medio PN0FS000 1.0
a a SPS00 1.0
dos dos DN0CP0 1.0
ratas rata NCFP000 1.0
por por SPS00 1.0
persona persona NCFS000 1.0
! ! FAT 1.0
. . FP 1.0
Ahora ahora RG 1.0
supongo suponer VMIP1S0 1.0
que que CS 1.0
en en SPS00 1.0
los el DA0MP0 1.0
países país NCMP000 1.0
más más RG 1.0
pudientes pudiente AQ0CP0 1.0
la el DA0FS0 1.0
proporción proporción NCFS000 1.0
debe deber VMIP3S0 1.0
estar estar VMN0000 1.0
por por SPS00 1.0
ahí ahí RG 1.0
, , FC 1.0
en_torno_a en_torno_a SPS00 1.0
la el DA0FS0 1.0
rata rata NCFS000 1.0
y y CC 1.0
media medio PN0FS000 1.0
o o CC 1.0
las el DA0FP0 1.0
dos dos DN0CP0 1.0
ratas rata NCFP000 1.0
por por SPS00 1.0
cabeza cabeza NCFS000 1.0
. . FP 1.0
En en SPS00 1.0
el el DA0MS0 1.0
Tercer_Mundo Tercer_Mundo NP0000L 1.0
, , FC 1.0
por_el_contrario por_el_contrario RG 1.0
, , FC 1.0
seguro seguro RG 1.0
que que CS 1.0
no no RN 1.0
andan andar VMIP3P0 1.0
muy mucho RG 1.0
lejos lejos RG 1.0
del del SPCMS 1.0
famoso famoso AQ0MS0 1.0
lema lema NCMS000 1.0
de de SPS00 1.0
los el DA0MP0 1.0
mosqueteros mosquetero NCMP000 1.0
: : FD 1.0
una uno DI0FS0 1.0
rata rata NCFS000 1.0
para para SPS00 1.0
todos todo PI0MP000 1.0
y y CC 1.0
todos todo PI0MP000 1.0
para para SPS00 1.0
una uno PI0FS000 1.0
. . FP 1.0
No no RN 1.0
es ser VSIP3S0 1.0
de de SPS00 1.0
extrañar extrañar VMN0000 1.0
que que CS 1.0
la el DA0FS0 1.0
