Acoso acoso NCMS000 1.0
al al SPCMS 1.0
dictador dictador NCMS000 1.0
chileno chileno AQ0MS0 1.0
. . FP 1.0
El el DA0MS0 1.0
titular titular NCCS000 1.0
de de SPS00 1.0
Exteriores Exteriores NP00000 1.0
de de SPS00 1.0
Chile Chile NP00000 1.0
inicia iniciar VMIP3S0 1.0
sin sin SPS00 1.0
esperanzas esperanza NCFP000 1.0
su su DP3CS0 1.0
mediación mediación NCFS000 1.0
en en SPS00 1.0
Madrid Madrid NP00000 1.0
. . FP 1.0
Enfoca enfocar VMIP3S0 1.0
su su DP3CS0 1.0
visita visita NCFS000 1.0
como como CS 1.0
un uno DI0MS0 1.0
intercambio intercambio NCMS000 1.0
de de SPS00 1.0
información información NCFS000 1.0
sobre sobre SPS00 1.0
el el DA0MS0 1.0
contencioso contencioso NCMS000 1.0
. . FP 1.0
El el DA0MS0 1.0
presidente presidente NCMS000 1.0
reitera reiterar VMM02S0 1.0
que que CS 1.0
se él P0300000 1.0
ajustará ajustar VMIF3S0 1.0
a a SPS00 1.0
las el DA0FP0 1.0
decisiones decisión NCFP000 1.0
de de SPS00 1.0
los el DA0MP0 1.0
magistrados magistrado NCMP000 1.0
. . FP 1.0
El el DA0MS0 1.0
ministro ministro NCMS000 1.0
de de SPS00 1.0
Exteriores Exteriores NP00000 1.0
de de SPS00 1.0
Chile Chile NP00000 1.0
, , FC 1.0
José_Miguel_Insulza José_Miguel_Insulza NP00000 1.0
, , FC 1.0
que que PR0CN000 1.0
hoy hoy RG 1.0
se él P0300000 1.0
entrevistará entrevistar VMIF3S0 1.0
con con SPS00 1.0
José_María_Aznar José_María_Aznar NP00000 1.0
y y CC 1.0
con con SPS00 1.0
su su DP3CS0 1.0
homólogo homólogo NCMS000 1.0
, , FC 1.0
Abel_Matutes Abel_Matutes NP00000 1.0
, , FC 1.0
sólo sólo RG 1.0
aspira aspirar VMIP3S0 1.0
a a SPS00 1.0
que que CS 1.0
las el DA0FP0 1.0
autoridades autoridad NCFP000 1.0
españolas español AQ0FP0 1.0
comprendan comprender VMSP3P0 1.0
su su DP3CS0 1.0
posición posición NCFS000 1.0
y y CC 1.0
considera considerar VMIP3S0 1.0
que que CS 1.0
la el DA0FS0 1.0
justicia justicia NCFS000 1.0
española español AQ0FS0 1.0
no no RN 1.0
puede poder VMIP3S0 1.0
ser ser VSN0000 1.0
imparcial imparcial AQ0CS0 1.0
en en SPS00 1.0
el el DA0MS0 1.0
caso caso NCMS000 1.0
Pinochet Pinochet NP00000 1.0
. . FP 1.0
Insulza Insulza NP00000 1.0
enfoca enfocar VMIP3S0 1.0
su su DP3CS0 1.0
visita visita NCFS000 1.0
a a SPS00 1.0
Madrid Madrid NP00000 1.0
como como CS 1.0
un uno DI0MS0 1.0
intercambio intercambio NCMS000 1.0
de de SPS00 1.0
información información NCFS000 1.0
sobre sobre SPS00 1.0
el el DA0MS0 1.0
contencioso contencioso NCMS000 1.0
jurídico-político jurídico-político AQ0MS0 1.0
que que PR0CN000 1.0
afecta afectar VMIP3S0 1.0
al al SPCMS 1.0
dictador dictador NCMS000 1.0
. . FP 1.0
En en SPS00 1.0
sus su DP3CP0 1.0
primeras primero AO0FP0 1.0
declaraciones declaración NCFP000 1.0
en en SPS00 1.0
Madrid Madrid NP00000 1.0
, , FC 1.0
el el DA0MS0 1.0
ministro ministro NCMS000 1.0
de de SPS00 1.0
Exteriores Exteriores NP00000 1.0
chileno chileno AQ0MS0 1.0
