Cientos ciento PN0CP000 1.0
de de SPS00 1.0
personas persona NCFP000 1.0
armadas armado AQ0FPP 1.0
con con SPS00 1.0
arcos arco NCMP000 1.0
y y CC 1.0
flechas flecha NCFP000 1.0
impidieron impedir VMIS3P0 1.0
que que CS 1.0
la el DA0FS0 1.0
Alta_Comisaría_de_las_Naciones_Unidas_para_los_Refugiados Alta_Comisaría_de_las_Naciones_Unidas_para_los_Refugiados NP00000 1.0
( ( FPA 1.0
ACNUR ACNUR NP00000 1.0
) ) FPT 1.0
reanudara reanudar VMSI3S0 1.0
sus su DP3CP0 1.0
actividades actividad NCFP000 1.0
de de SPS00 1.0
repatriación repatriación NCFS000 1.0
de de SPS00 1.0
timorenses timorense NCCP000 1.0
en en SPS00 1.0
tres tres DN0CP0 1.0
campamentos campamento NCMP000 1.0
de de SPS00 1.0
refugiados refugiado NCMP000 1.0
de de SPS00 1.0
Nussa_Tengara Nussa_Tengara NP00000 1.0
( ( FPA 1.0
Timor_Occidentel Timor_Occidentel NP00000 1.0
) ) FPT 1.0
. . FP 1.0
Según según SPS00 1.0
un uno DI0MS0 1.0
portavoz portavoz NCCS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
agencia agencia NCFS000 1.0
multilateral multilateral AQ0CS0 1.0
, , FC 1.0
residentes residente NCCP000 1.0
indonesios indonesio AQ0MP0 1.0
de de SPS00 1.0
Timor_Occidental Timor_Occidental NP00000 1.0
bloquearon bloquear VMIS3P0 1.0
las el DA0FP0 1.0
rutas ruta NCFP000 1.0
de de SPS00 1.0
acceso acceso NCMS000 1.0
que que PR0CN000 1.0
conectan conectar VMIP3P0 1.0
Kupang Kupang NP00000 1.0
, , FC 1.0
la el DA0FS0 1.0
capital capital NCFS000 1.0
de de SPS00 1.0
esta este DD0FS0 1.0
provincia provincia NCFS000 1.0
indonesia indonesio AQ0FS0 1.0
, , FC 1.0
con con SPS00 1.0
los el DA0MP0 1.0
centros centro NCMP000 1.0
de de SPS00 1.0
refugiados refugiado NCMP000 1.0
de de SPS00 1.0
Noelbaky Noelbaky NP00000 1.0
, , FC 1.0
Tuapukan Tuapukan NP00000 1.0
y y CC 1.0
Naibonat Naibonat NP00000 1.0
. . FP 1.0
El el DA0MS0 1.0
portavoz portavoz NCCS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
oficina oficina NCFS000 1.0
de de SPS00 1.0
ACNUR ACNUR NP00000 1.0
en en SPS00 1.0
Dili Dili NP00000 1.0
, , FC 1.0
Joseph_Yeo Joseph_Yeo NP00000 1.0
, , FC 1.0
dijo decir VMIS3S0 1.0
que que CS 1.0
" " FE 1.0
es ser VSIP3S0 1.0
imposible imposible AQ0CS0 1.0
saber saber VMN0000 1.0
cuándo cuándo PT000000 1.0
podremos poder VMIF1P0 1.0
reanudar reanudar VMN0000 1.0
nuestras nuestro DP1FPP 1.0
actividades actividad NCFP000 1.0
porque porque CS 1.0
hay haber VAIP3S0 1.0
un uno DI0MS0 1.0
malestar malestar NCMS000 1.0
generalizado generalizado AQ0MSP 1.0
allí allí RG 1.0
" " FE 1.0
