0. 0  1.0
Millonarios Millonarios NP0000O 1.0
: : FD 1.0
Andrés_López Andrés_López NP0000P 1.0
; ; FX 1.0
Jair_Ramírez Jair_Ramírez NP0000P 1.0
, , FC 1.0
Oscar_Cortés Oscar_Cortés NP0000P 1.0
, , FC 1.0
Javier_Martínez Javier_Martínez NP0000P 1.0
, , FC 1.0
Oscar_Millán Oscar_Millán NP0000P 1.0
; ; FX 1.0
Javier_Jiménez Javier_Jiménez NP0000P 1.0
( ( FPA 1.0
Andrés_Pérez Andrés_Pérez NP0000P 1.0
, , FC 1.0
m.46 .46  1.0
) ) FPT 1.0
, , FC 1.0
Raúl_Ramírez Raúl_Ramírez NP0000P 1.0
, , FC 1.0
Jaime_Suárez Jaime_Suárez NP0000P 1.0
, , FC 1.0
Andrés_Chitiva Andrés_Chitiva NP0000P 1.0
; ; FX 1.0
Juan_Carlos_Jaramillo Juan_Carlos_Jaramillo NP0000P 1.0
, , FC 1.0
John_Jairo_Castillo John_Jairo_Castillo NP0000P 1.0
( ( FPA 1.0
Carlos_Castro Carlos_Castro NP0000P 1.0
, , FC 1.0
m.46 .46  1.0
) ) FPT 1.0
. . FP 1.0
0. 0  1.0
Nacional Nacional NP0000O 1.0
: : FD 1.0
Milton_Patiño Milton_Patiño NP0000P 1.0
; ; FX 1.0
Nelson_Florez Nelson_Florez NP0000P 1.0
, , FC 1.0
Samuel_Vanegas Samuel_Vanegas NP0000P 1.0
, , FC 1.0
Aquivaldo_Mosquera Aquivaldo_Mosquera NP0000P 1.0
, , FC 1.0
Andrés_Estrada Andrés_Estrada NP0000P 1.0
; ; FX 1.0
Jorge_Salcedo Jorge_Salcedo NP0000P 1.0
, , FC 1.0
Dumar_Rueda Dumar_Rueda NP0000P 1.0
( ( FPA 1.0
Ocampo Ocampo NP0000P 1.0
, , FC 1.0
m.78 .78  1.0
) ) FPT 1.0
, , FC 1.0
Oswaldo_Mackenzie Oswaldo_Mackenzie NP0000P 1.0
, , FC 1.0
Víctor_Aristizábal Víctor_Aristizábal NP0000P 1.0
; ; FX 1.0
