Alex_Corretja Alex_Corretja NP00000 1.0
, , FC 1.0
que que PR0CN000 1.0
hoy hoy RG 1.0
ganó ganar VMIS3S0 1.0
la el DA0FS0 1.0
medalla medalla NCFS000 1.0
de de SPS00 1.0
bronce bronce NCMS000 1.0
en en SPS00 1.0
la el DA0FS0 1.0
competición competición NCFS000 1.0
de de SPS00 1.0
dobles doble NCCP000 1.0
con con SPS00 1.0
Albert_Costa Albert_Costa NP00000 1.0
como como CS 1.0
pareja pareja NCFS000 1.0
, , FC 1.0
afirmó afirmar VMIS3S0 1.0
que que CS 1.0
lo el DA0NS0 1.0
que que PR0CN000 1.0
ambos ambos PN0MP000 1.0
han haber VAIP3P0 1.0
conseguido conseguir VMP00SM 1.0
en en SPS00 1.0
los el DA0MP0 1.0
Juegos_Olímpicos juegos_olímpicos NCMP000 1.0
de de SPS00 1.0
Sydney Sydney NP00000 1.0
" " FE 1.0
es ser VSIP3S0 1.0
mucho mucho RG 1.0
más más RG 1.0
que que CS 1.0
difícil difícil AQ0CS0 1.0
" " FE 1.0
. . FP 1.0
" " FE 1.0
Ganar ganar VMN0000 1.0
una uno DI0FS0 1.0
medalla medalla NCFS000 1.0
de de SPS00 1.0
bronce bronce NCMS000 1.0
un uno DI0MS0 1.0
dobles doble NCCP000 1.0
en en SPS00 1.0
unos uno DI0MP0 1.0
Juegos_Olímpicos juegos_olímpicos NCMP000 1.0
habiendo haber VAG0000 1.0
jugado jugar VMP00SM 1.0
tan tanto RG 1.0
pocas poco DI0FP0 1.0
veces vez NCFP000 1.0
juntos junto AQ0MP0 1.0
es ser VSIP3S0 1.0
casi casi RG 1.0
imposible imposible AQ0CS0 1.0
. . FP 1.0
Lo él PP3MSA00 1.0
hemos haber VAIP1P0 1.0
logrado lograr VMP00SM 1.0
por por SPS00 1.0
orgullo orgullo NCMS000 1.0
, , FC 1.0
por por SPS00 1.0
garra garra NCFS000 1.0
y y CC 1.0
por por SPS00 1.0
raza raza NCFS000 1.0
" " FE 1.0
, , FC 1.0
subrayó subrayar VMIS3S0 1.0
el el DA0MS0 1.0
barcelonés barcelonés NCMS000 1.0
. . FP 1.0
" " FE 1.0
Cuando cuando CS 1.0
en en SPS00 1.0
el el DA0MS0 1.0
torneo torneo NCMS000 1.0
individual individual AQ0CS0 1.0
te tú P020S000 1.0
quedas quedar VMIP2S0 1.0
decepcionado decepcionado AQ0MSP 1.0
, , FC 1.0
hacer hacer VMN0000 1.0
el el DA0MS0 1.0
esfuerzo esfuerzo NCMS000 1.0
de de SPS00 1.0
mentalizarse mentalizar VMN0000 1.0
para para SPS00 1.0
el el DA0MS0 1.0
doble doble NCCS000 1.0
, , FC 1.0
una uno DI0FS0 1.0
modalidad modalidad NCFS000 1.0
en en SPS00 1.0
la el DA0FS0 1.0
que que PR0CN000 1.0
Albert Albert NP00000 1.0
y y CC 1.0
yo yo PP1CSN00 1.0
solo solo RG 1.0
hemos haber VAIP1P0 1.0
jugado jugar VMP00SM 1.0
juntos junto AQ0MP0 1.0
seis seis DN0CP0 1.0
o o CC 1.0
siete siete DN0CP0 1.0
veces vez NCFP000 1.0
, , FC 1.0
y y CC 1.0
ser ser VSN0000 1.0
capaces capaz AQ0CP0 1.0
de de SPS00 1.0
salir salir VMN0000 1.0
a a SPS00 1.0
la el DA0FS0 1.0
pista pista NCFS000 1.0
y y CC 1.0
dar dar VMN0000 1.0
todo todo DI0MS0 1.0
lo el DA0NS0 1.0
que que PR0CN000 1.0
dimos dar VMIS1P0 1.0
, , FC 1.0
fue ser VSIS3S0 1.0
una uno DI0FS0 1.0
demostración demostración NCFS000 1.0
de de SPS00 1.0
valentía valentía NCFS000 1.0
y y CC 1.0
de de SPS00 1.0
orgullo orgullo NCMS000 1.0
" " FE 1.0
, , FC 1.0
añadió añadir VMIS3S0 1.0
. . FP 1.0
" " FE 1.0
Competir competir VMN0000 1.0
en en SPS00 1.0
unos uno DI0MP0 1.0
Juegos Juegos NP00000 1.0
ya ya RG 1.0
es ser VSIP3S0 1.0
muy mucho RG 1.0
bonito bonito AQ0MS0 1.0
, , FC 1.0
imaginaros imaginar VMN0000 1.0
ganar ganar VMN0000 1.0
