TÍTULO_PRELIMINAR título_preliminar NP00000 1.0
. . Fp 1.0
De de SP 0.9999614754213187
las el DA0FP0 0.9881835086975967
normas norma NCFP000 1.0
jurídicas jurídico AQ0FP00 1.0
, , Fc 1.0
su su DP3CSN 1.0
aplicación aplicación NCFS000 1.0
y y CC 0.9999892786688395
eficacia eficacia NCFS000 1.0
. . Fp 1.0
CAPÍTULO_PRIMERO capítulo_primero NP00000 1.0
. . Fp 1.0
Fuentes fuente NCFP000 0.66898416616338
de de SP 0.9999614754213187
l l NCFS000 0.627697200506985
Derecho derecho NP00000 1.0
. . Fp 1.0
Artículo artículo NP00000 0.66898416616338
1 1 Z 1.0
1 1 Z 1.0
. . Fp 1.0
Las el DA0FP0 0.9881835086975967
fuentes fuente NCFP000 1.0
de de SP 0.9999614754213187
l l NCFS000 0.627697200506985
ordenamiento ordenamiento NCMS000 1.0
jurídico jurídico AQ0MS00 1.0
español español AQ0MS00 0.7672292545710268
son ser VSIP3P0 0.9951967063129004
la el DA0FS0 0.9892597806068348
ley ley NCFS000 1.0
, , Fc 1.0
la el DA0FS0 0.9892597806068348
costumbre costumbre NCFS000 1.0
y y CC 0.9999892786688395
los el DA0MP0 0.9927281155389451
principios principio NCMP000 1.0
generales general AQ0CP00 0.91644908616188
de de SP 0.9999614754213187
l l NCFS000 0.627697200506985
derecho derecho AQ0MS00 0.8821656050955413
. . Fp 1.0
2 2 Z 1.0
. . Fp 1.0
Carecerán carecer VMIF3P0 1.0
de de SP 0.9999614754213187
validez validez NCFS000 1.0
las el DA0FP0 0.9881835086975967
disposiciones disposición NCFP000 1.0
que que PR0CN00 0.5501392534733338
contradigan contradecir VMSP3P0 0.9419636363636363
otra otro PI0FS00 0.7408930669800236
de de SP 0.9999614754213187
rango rango NCMS000 1.0
superior superior AQ0CS00 0.971938775510204
. . Fp 1.0
3 3 Z 1.0
. . Fp 1.0
La el DA0FS0 0.9892597806068348
costumbre costumbre NCFS000 1.0
sólo sólo RG 1.0
regirá regir VMIF3S0 1.0
en_defecto_de en_defecto_de SP 1.0
ley ley NCFS000 1.0
aplicable aplicable AQ0CS00 1.0
, , Fc 1.0
siempre siempre RG 1.0
que que CS 0.5501392534733338
no no RN 0.9992965295457591
sea ser VSSP1S0 0.49433962264150944
contraria contrario AQ0FS00 0.6612938653835941
a a SP 0.9987754021314622
la el DA0FS0 0.9892597806068348
moral moral NCFS000 0.5198412698412699
o o CC 0.9998636115657392
a a SP 0.9987754021314622
l l NCFS000 0.627697200506985
orden orden NCCS000 1.0
público público AQ0MS00 0.5903041825095057
y y CC 0.9999892786688395
que que CS 0.5501392534733338
resulte resultar VMSP3S0 0.6348634293365796
probada probar VMP00SF 1.0
. . Fp 1.0
Los el DA0MP0 0.9927281155389451
usos uso NCMP000 1.0
jurídicos jurídico AQ0MP00 1.0
que que PR0CN00 0.5501392534733338
no no RN 0.9992965295457591
sean ser VSSP3P0 0.9966887417218544
meramente meramente RG 1.0
interpretativos interpretativo AQ0MP00 1.0
de de SP 0.9999614754213187
una uno DI0FS0 0.9519732400417357
declaración declaración NCFS000 1.0
de de SP 0.9999614754213187
