CAPITULO_I._Normas_Generales capitulo_i._normas_generales NP00000 1.0
. . Fp 1.0
Articulo articular VMIP1S0 1.0
1 1 Z 1.0
° ° Fz 1.0
. . Fp 1.0
- - Fg 1.0
Esta este DD0FS0 0.9788165266106442
ley ley NCFS000 1.0
tiene tener VMIP3S0 1.0
por por SP 1.0
objeto objeto NCMS000 0.9961832061068703
proteger proteger VMN0000 1.0
a a SP 0.9987754021314622
competidores competidor NCMP000 0.976190476190476
, , Fc 1.0
consumidores consumidor NCMP000 0.9968944099378881
y y CC 0.9999892786688395
, , Fc 1.0
en en SP 1.0
general general AQ0CS00 0.8262124711316398
, , Fc 1.0
a a SP 0.9987754021314622
cualquier cualquiera DI0CS0 1.0
persona persona NCFS000 0.9966832504145937
afectada afectar VMP00SF 0.8804347826086957
en en SP 1.0
sus su DP3CPN 0.9999034935340666
intereses interés NCMP000 0.9976303317535544
legítimos legítimo AQ0MP00 1.0
por por SP 1.0
un uno DI0MS0 0.9969803144161175
acto acto NCMS000 1.0
de de SP 0.9999614754213187
competencia competencia NCFS000 1.0
desleal desleal AQ0CS00 0.6612938653836096
. . Fp 1.0
Artículo artículo NP00000 0.66898416616338
2 2 Z 1.0
° ° Fz 1.0
. . Fp 1.0
- - Fg 1.0
Una uno DI0FS0 0.9519732400417357
conducta conducta NCFS000 1.0
podrá poder VMIF3S0 1.0
ser ser VSN0000 0.959636517328825
calificada calificar VMP00SF 1.0
como como CS 0.9671530369867661
un uno DI0MS0 0.9969803144161175
acto acto NCMS000 1.0
de de SP 0.9999614754213187
competencia competencia NCFS000 1.0
desleal desleal AQ0CS00 0.6612938653836096
conforme_a conforme_a SP 1.0
las el DA0FP0 0.9881835086975967
disposiciones disposición NCFP000 1.0
de de SP 0.9999614754213187
esta este DD0FS0 0.9788165266106442
ley ley NCFS000 1.0
aunque aunque CC 1.0
resulten resultar VMSP3P0 0.9419636363219206
procedentes procedente AQ0CP00 1.0
respecto_de respecto_de SP 1.0
esa ese DD0FS0 0.9645048203330412
misma mismo AQ0FS00 0.8168402777777777
conducta conducta NCFS000 1.0
, , Fc 1.0
y y CC 0.9999892786688395
ante ante SP 0.9997443762781187
los el DA0MP0 0.9927281155389451
tribunales tribunal NCMP000 1.0
competentes competente AQ0CP00 1.0
, , Fc 1.0
una uno DI0FS0 0.9519732400417357
o o CC 0.9998636115657392
más más RG 0.9999299817952667
de de SP 0.9999614754213187
las el DA0FP0 0.9881835086975967
siguientes siguiente AQ0CP00 1.0
acciones acción NCFP000 0.9985337243401758
: : Fd 1.0
a a SP 0.9987754021314622
) ) Fpt 1.0
Las las NP00000 1.0
reguladas regular VMP00PF 1.0
en en SP 1.0
el el DA0MS0 1.0
decreto decreto NCMS000 0.994186046511628
con con SP 1.0
fuerza fuerza NCFS000 0.9968404423380728
de de SP 0.9999614754213187
ley ley NCFS000 1.0
N° n° NP00000 1.0
1 1 Z 1.0
, , Fc 1.0
de de SP 0.9999614754213187
2005 2005 Z 1.0
, , Fc 1.0
de de SP 0.9999614754213187
l l NCFS000 0.627697200506985
Ministerio_de_Economía ministerio_de_economía NP00000 1.0
, , Fc 1.0
Fomento fomento NP00000 1.0
y y CC 0.9999892786688395
Reconstrucción reconstrucción NP00000 1.0
, , Fc 1.0
que que PR0CN00 0.5501392534733338
fija fijar VMIP3S0 0.6842105263157894
