LA_CONSTITUCIÓN_ESPAÑOLA_DE la_constitución_española_de NP00000 1.0
1978 1978 Z 1.0
. . Fp 1.0
Aprobada aprobar VMP00SF 1.0
por por SP 1.0
las el DA0FP0 0.9881835086975967
Cortes_Generales cortes_generales NP00000 1.0
el el DA0MS0 1.0
31_de_octubre_de_1978 [??:31/10/1978:??.??:??] W 1.0
, , Fc 1.0
fue ser VSIS3S0 0.9807386182744349
refrendada refrendar VMP00SF 1.0
por por SP 1.0
el el DA0MS0 1.0
pueblo pueblo NCMS000 0.9983922829581994
español español AQ0MS00 0.7672292545710268
el el DA0MS0 1.0
6_de_diciembre [??:6/12/??:??.??:??] W 1.0
; ; Fx 1.0
sancionada sancionar VMP00SF 1.0
y y CC 0.9999892786688395
promulgada promulgar VMP00SF 1.0
por por SP 1.0
el el DA0MS0 1.0
Rey rey NP00000 1.0
el el DA0MS0 1.0
día_27 [??:27/??/??:??.??:??] W 1.0
y y CC 0.9999892786688395
publicada publicar VMP00SF 1.0
el el DA0MS0 1.0
29_de_diciembre_de_1978 [??:29/12/1978:??.??:??] W 1.0
, , Fc 1.0
día día NCMS000 1.0
que que PR0CN00 0.5501392534733338
entró entrar VMIS3S0 1.0
en en SP 1.0
vigor vigor NCMS000 1.0
* * Fz 1.0
. . Fp 1.0
BOE boe NP00000 1.0
núm. núm. NCFS000 0.574152839090055
311-1 311-1 Z 1.0
, , Fc 1.0
de de SP 0.9999614754213187
29_de_diciembre_de_1978 [??:29/12/1978:??.??:??] W 1.0
. . Fp 1.0
DON_JUAN_CARLOS_I don_juan_carlos_i NP00000 1.0
, , Fc 1.0
REY_DE_ESPAÑA rey_de_españa NP00000 1.0
, , Fc 1.0
A_TODOS_LOS_QUE_LA_PRESENTE_VIEREN_Y_ENTENDIEREN_SABED a_todos_los_que_la_presente_vieren_y_entendieren_sabed NP00000 1.0
: : Fd 1.0
QUE_LAS_CORTES_HAN_APROBADO_Y_EL_PUEBLO_ESPAÑOL_RATIFICADO_LA_SIGUIENTE_CONSTITUCIÓN que_las_cortes_han_aprobado_y_el_pueblo_español_ratificado_la_siguiente_constitución NP00000 1.0
: : Fd 1.0
. . Fp 1.0
PREÁMBULO preámbulo NP00000 0.5271202373762571
. . Fp 1.0
La el DA0FS0 0.9892597806068348
Nación nación NP00000 1.0
española español AQ0FS00 0.9614003590664272
, , Fc 1.0
deseando desear VMG0000 1.0
establecer establecer VMN0000 1.0
la el DA0FS0 0.9892597806068348
justicia justicia NCFS000 1.0
, , Fc 1.0
la el DA0FS0 0.9892597806068348
libertad libertad NCFS000 0.9981884057971014
y y CC 0.9999892786688395
la el DA0FS0 0.9892597806068348
seguridad seguridad NCFS000 1.0
y y CC 0.9999892786688395
promover promover VMN0000 1.0
el el DA0MS0 1.0
bien bien NCMS000 0.8760880696364567
de de SP 0.9999614754213187
cuantos cuanto DI0MP0 0.7634408602150536
la el DA0FS0 0.9892597806068348
integran integrar VMIP3P0 1.0
, , Fc 1.0
en en SP 1.0
uso uso NCMS000 0.998046875
de de SP 0.9999614754213187
su su DP3CSN 1.0
soberanía soberanía NCFS000 1.0
, , Fc 1.0
proclama proclamar VMIP3S0 0.57464485578993
su su DP3CSN 1.0
voluntad voluntad NCFS000 1.0
de de SP 0.9999614754213187
: : Fd 1.0
Garantizar garantizar VMN0000 1.0
la el DA0FS0 0.9892597806068348
convivencia convivencia NCFS000 1.0
democrática democrático AQ0FS00 1.0
dentro_de dentro_de SP 1.0
la el DA0FS0 0.9892597806068348
Constitución constitución NP00000 1.0
y y CC 0.9999892786688395
de de SP 0.9999614754213187
las el DA0FP0 0.9881835086975967
leyes ley NCFP000 1.0
conforme_a conforme_a SP 1.0
un uno DI0MS0 0.9969803144161175
orden orden NCCS000 1.0
económico económico AQ0MS00 1.0
y y CC 0.9999892786688395
social social AQ0CS00 0.9987834549878345
justo justo AQ0MS00 0.5445859872611466
. . Fp 1.0
Consolidar consolidar VMN0000 1.0
un uno DI0MS0 0.9969803144161175
Estado_de_Derecho estado_de_derecho NP00000 1.0
que que PR0CN00 0.5501392534733338
asegure asegurar VMSP3S0 0.6348634294385432
el el DA0MS0 1.0
imperio imperio NCMS000 1.0
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
ley ley NCFS000 1.0
como como CS 0.9671530369867661
expresión expresión NCFS000 1.0
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
voluntad voluntad NCFS000 1.0
popular popular AQ0CS00 1.0
. . Fp 1.0
Proteger proteger VMN0000 1.0
a a SP 0.9987754021314622
todos todo DI0MP0 0.7066496977410117
los el DA0MP0 0.9927281155389451
españoles español NCMP000 0.5849056603773586
y y CC 0.9999892786688395
pueblos pueblo NCMP000 1.0
de de SP 0.9999614754213187
España españa NP00000 1.0
en en SP 1.0
el el DA0MS0 1.0
ejercicio ejercicio NCMS000 1.0
de de SP 0.9999614754213187
los el DA0MP0 0.9927281155389451
derechos derecho NCMP000 0.9967948717948719
huma huma VMIP3S0 0.47799812890521426
nos nos PP1CP00 0.8102583879676051
, , Fc 1.0
sus su DP3CPN 0.9999034935340666
culturas cultura NCFP000 1.0
y y CC 0.9999892786688395
tradiciones tradición NCFP000 1.0
, , Fc 1.0
lenguas lengua NCFP000 1.0
e y CC 0.987993803253292
instituciones institución NCFP000 1.0
. . Fp 1.0
Promover promover VMN0000 1.0
el el DA0MS0 1.0
progreso progreso NCMS000 0.9960317460317462
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
cultura cultura NCFS000 1.0
