Análisis análisis NCMN000 0.66898416616338
factorial factorial AQ0CS00 0.6612302773140956
de de SP 0.9999614754213187
las el DA0FP0 0.9881835086975967
actitudes actitud NCFP000 1.0
personales personal AQ0CP00 0.9896373056994819
en en SP 1.0
educación educación NCFS000 1.0
secundaria secundario AQ0FS00 1.0
. . Fp 1.0
Un uno DI0MS0 0.9969803144161175
estudio estudio NCMS000 0.9704301075268816
empírico empírico AQ0MS00 0.6612842461844298
en en SP 1.0
la el DA0FS0 0.9892597806068348
Comunidad_de_Madrid comunidad_de_madrid NP00000 1.0
. . Fp 1.0
Manuel_Pintor_García manuel_pintor_garcía NP00000 1.0
. . Fp 1.0
Dr. dr. NP00000 1.0
en en SP 1.0
Psicología_por_la_Universidad_Autónoma_de_Madrid psicología_por_la_universidad_autónoma_de_madrid NP00000 1.0
. . Fp 1.0
Actitudes actitud NCFP000 0.66898416616338
básicas básico AQ0FP00 1.0
de de SP 0.9999614754213187
personalidad personalidad NCFS000 1.0
y y CC 0.9999892786688395
prevención prevención NCFS000 1.0
. . Fp 1.0
Finalidad finalidad NP00000 0.66898416616338
y y CC 0.9999892786688395
justificación justificación NCFS000 1.0
. . Fp 1.0
El el DA0MS0 1.0
motivo motivo NCMS000 0.9923954372623575
para para SP 0.9998335884976369
elegir elegir VMN0000 1.0
este este DD0MS0 0.9492011470708727
objeto objeto NCMS000 0.9961832061068703
de de SP 0.9999614754213187
investigación investigación NCFS000 1.0
tiene tener VMIP3S0 1.0
su su DP3CSN 1.0
origen origen NCMS000 1.0
en en SP 1.0
la el DA0FS0 0.9892597806068348
demanda demanda NCFS000 0.9678284182305631
explícita explícito AQ0FS00 1.0
de de SP 0.9999614754213187
muchos mucho DI0MP0 0.6639941690962099
profesionales profesional NCCP000 0.5354609929078015
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
educación educación NCFS000 1.0
, , Fc 1.0
pero pero CC 0.9999015941743751
también también RG 1.0
de de SP 0.9999614754213187
los el DA0MP0 0.9927281155389451
padres padre NCMP000 1.0
de de SP 0.9999614754213187
los el DA0MP0 0.9927281155389451
jóvenes joven AQ0CP00 0.8021148036253777
alumnos alumno NCMP000 1.0
. . Fp 1.0
Y y CC 0.9999892786688395
también también RG 1.0
en en SP 1.0
la el DA0FS0 0.9892597806068348
inquietud inquietud NCFS000 1.0
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
sociedad sociedad NCFS000 1.0
, , Fc 1.0
expresada expresar VMP00SF 1.0
en en SP 1.0
la el DA0FS0 0.9892597806068348
opinión opinión NCFS000 1.0
pública público AQ0FS00 1.0
. . Fp 1.0
La el DA0FS0 0.9892597806068348
salud salud NCFS000 1.0
mental mental AQ0CS00 1.0
de de SP 0.9999614754213187
los el DA0MP0 0.9927281155389451
escolares escolar NCCP000 0.8472222222222221
es ser VSIP3S0 1.0
hoy hoy RG 0.9938641125411554
un uno DI0MS0 0.9969803144161175
problema problema NCMS000 1.0
básico básico AQ0MS00 1.0
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
educación educación NCFS000 1.0
. . Fp 1.0
Ciertamente ciertamente RG 1.0
, , Fc 1.0
existe existir VMIP3S0 0.9979253112033195
preocupación preocupación NCFS000 1.0
social social AQ0CS00 0.9987834549878345
acerca_de acerca_de SP 1.0
los el DA0MP0 0.9927281155389451
problemas problema NCMP000 1.0
relativos relativo AQ0MP00 0.6612938049318267
a a SP 0.9987754021314622
l l NCFS000 0.627697200506985
desarrollo desarrollo NCMS000 0.9988399071925753
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
personalidad personalidad NCFS000 1.0
de de SP 0.9999614754213187
los el DA0MP0 0.9927281155389451
estudiantes estudiante NCCP000 0.9961832061068703
, , Fc 1.0
pero pero CC 0.9999015941743751
falta faltar VMIP3S0 0.8097014925373133
conocimiento conocimiento NCMS000 1.0
