TÍTULO_I._DE_L_ORDEN_JURISDICCIONAL_CONTENCIOSO-ADMINISTRATIVO título_i._de_l_orden_jurisdiccional_contencioso-administrativo NP00000 1.0
. . Fp 1.0
CAPÍTULO_I._ÁMBITO capítulo_i._ámbito NP00000 1.0
. . Fp 1.0
Artículo artículo NP00000 0.66898416616338
1 1 Z 1.0
. . Fp 1.0
1 1 Z 1.0
. . Fp 1.0
Los el DA0MP0 0.9927281155389451
Juzgados juzgados NP00000 1.0
y y CC 0.9999892786688395
Tribunales tribunales NP00000 1.0
de de SP 0.9999614754213187
l l NCFS000 0.627697200506985
orden orden NCCS000 1.0
contencioso-administrativo contencioso-administrativo AQ0MS00 1.0
conocerán conocer VMIF3P0 1.0
de de SP 0.9999614754213187
las el DA0FP0 0.9881835086975967
pretensiones pretensión NCFP000 1.0
que que PR0CN00 0.5501392534733338
se se P00CN00 0.494508864850837
deduzcan deducir VMSP3P0 0.9419636363636363
en en SP 1.0
relación relación NCFS000 1.0
con con SP 1.0
la el DA0FS0 0.9892597806068348
actuación actuación NCFS000 1.0
de de SP 0.9999614754213187
las el DA0FP0 0.9881835086975967
Administraciones administraciones NP00000 1.0
públicas público AQ0FP00 1.0
sujeta sujeto AQ0FS00 0.9534883720930232
a a SP 0.9987754021314622
l l NCFS000 0.627697200506985
Derecho_Administrativo derecho_administrativo NP00000 1.0
, , Fc 1.0
con con SP 1.0
las el DA0FP0 0.9881835086975967
disposiciones disposición NCFP000 1.0
generales general AQ0CP00 0.91644908616188
de de SP 0.9999614754213187
rango rango NCMS000 1.0
inferior inferior AQ0CS00 0.9929577464788732
a a SP 0.9987754021314622
la el DA0FS0 0.9892597806068348
Ley ley NP00000 1.0
y y CC 0.9999892786688395
con con SP 1.0
los el DA0MP0 0.9927281155389451
Decretos decretos NP00000 1.0
legislativos legislativo AQ0MP00 0.6612160966169636
cuando cuando CS 0.862979855568225
excedan exceder VMSP3P0 0.941963636363622
los el DA0MP0 0.9927281155389451
límites límite NCMP000 1.0
de de SP 0.9999614754213187
