EDITORIAL editorial NCCS000 0.7423312883435582
. . Fp 1.0
LA_RESPUESTA_DE_SANGUINETTI_A_GELMAN la_respuesta_de_sanguinetti_a_gelman NP00000 1.0
. . Fp 1.0
La el DA0FS0 0.9892597806068348
carta carta NCFS000 1.0
que que PR0CN00 0.5501392534733338
con con SP 1.0
fecha fecha NCFS000 0.9907407407407408
5_de_noviembre [??:5/11/??:??.??:??] W 1.0
envía enviar VMIP3S0 0.9892405063291136
el el DA0MS0 1.0
Presidente_de_la_República presidente_de_la_república NP00000 1.0
a a SP 0.9987754021314622
Juan_Gelman juan_gelman NP00000 1.0
es ser VSIP3S0 1.0
, , Fc 1.0
para para SP 0.9998335884976369
empezar empezar VMN0000 1.0
, , Fc 1.0
la el DA0FS0 0.9892597806068348
respuesta respuesta NCFS000 1.0
a a SP 0.9987754021314622
una uno DI0FS0 0.9519732400417357
presión presión NCFS000 1.0
internacional internacional AQ0CS00 0.9705323193916349
. . Fp 1.0
Está estar VMIP3S0 0.9993980738362762
pensada pensar VMP00SF 1.0
para para SP 0.9998335884976369
aliviar aliviar VMN0000 1.0
las el DA0FP0 0.9881835086975967
tensiones tensión NCFP000 1.0
que que PR0CN00 0.5501392534733338
Sanguinetti sanguinetti NP00000 1.0
tendrá tener VMIF3S0 1.0
que que CS 0.5501392534733338
afrontar afrontar VMN0000 1.0
en en SP 1.0
sus su DP3CPN 0.9999034935340666
próximas próximo AQ0FP00 1.0
salidas salida NCFP000 0.9901960784313726
a a SP 1.0
el el DA0MS0 1.0
exterior exterior NCMS000 0.7164502164502164
. . Fp 1.0
Entre entre SP 0.9803409403354414
otras otro DI0FP0 0.8654080389768575
cosas cosa NCFP000 0.9990494296577946
, , Fc 1.0
es ser VSIP3S0 1.0
consciente consciente AQ0CS00 1.0
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
fragilidad fragilidad NCFS000 1.0
en en SP 1.0
que que PR0CN00 0.5501392534733338
se se P00CN00 0.494508864850837
ha haber VAIP3S0 0.9998889074043215
colocado colocar VMP00SM 1.0
con con SP 1.0
su su DP3CSN 1.0
arrogante arrogante AQ0CS00 1.0
silencio silencio NCMS000 0.9970760233918128
ante ante SP 0.9997443762781187
la el DA0FS0 0.9892597806068348
petición petición NCFS000 1.0
de de SP 0.9999614754213187
Juan_Gelman juan_gelman NP00000 1.0
para para SP 0.9998335884976369
que que CS 0.5501392534733338
lo lo PP3MSA0 0.6651648430236716
ayude ayudar VMSP3S0 0.6348634294385029
a a SP 0.9987754021314622
encontrar encontrar VMN0000 1.0
a a SP 0.9987754021314622
su su DP3CSN 1.0
