POLÍTICA política NCFS000 0.36938564790913786
. . Fp 1.0
NUEVO_CONTACTO_ENTRE_VÁZQUEZ_Y_VOLONTÉ nuevo_contacto_entre_vázquez_y_volonté NP00000 1.0
. . Fp 1.0
Negociación negociación NCFS000 0.66898416616338
por por SP 1.0
reforma reforma NCFS000 0.9968895800933125
abrió abrir VMIS3S0 1.0
las el DA0FP0 0.9881835086975967
puertas puerta NCFP000 1.0
a a SP 0.9987754021314622
integración integración NCFS000 1.0
de de SP 0.9999614754213187
FA fa NP00000 1.0
y y CC 0.9999892786688395
NE ne NP00000 1.0
a a SP 0.9987754021314622
organismos organismo NCMP000 1.0
de de SP 0.9999614754213187
contralor contralor NCMS000 1.0
con con SP 1.0
el el DA0MS0 1.0
aval aval NCMS000 1.0
de de SP 0.9999614754213187
Sanguinetti sanguinetti NP00000 1.0
. . Fp 1.0
Ayer ayer RG 0.9916384630698786
sobre sobre SP 0.9978039215686275
las el DA0FP0 0.9881835086975967
22_horas TM_h:22 Zu 1.0
y y CC 0.9999892786688395
después_de después_de SP 1.0
dos 2 Z 0.9998684556695606
intentos intento NCMP000 1.0
fallidos fallir VMP00PM 1.0
Alberto_Volonté alberto_volonté NP00000 1.0
se se P00CN00 0.494508864850837
comunicó comunicar VMIS3S0 1.0
telefónicamente telefónicamente RG 1.0
con con SP 1.0
Tabaré_Vázquez tabaré_vázquez NP00000 1.0
y y CC 0.9999892786688395
ratificó ratificar VMIS3S0 1.0
que que CS 0.5501392534733338
Sanguinetti sanguinetti NP00000 1.0
respalda respaldar VMIP3S0 0.976190476190476
la el DA0FS0 0.9892597806068348
propuesta propuesta NCFS000 0.9833836858006041
de de SP 0.9999614754213187
integración integración NCFS000 1.0
a a SP 0.9987754021314622
los el DA0MP0 0.9927281155389451
organismos organismo NCMP000 1.0
de de SP 0.9999614754213187
contralor contralor NCMS000 1.0
. . Fp 1.0
. . Fp 1.0
Sin sin SP 1.0
embargo embargo NCMS000 0.9952830188679246
quedó quedar VMIS3S0 1.0
claro claro RG 0.6105769230769231
que que CS 0.5501392534733338
esto este PD00S00 1.0
es ser VSIP3S0 1.0
independiente independiente AQ0CS00 1.0
a a SP 0.9987754021314622
la el DA0FS0 0.9892597806068348
negociación negociación NCFS000 1.0
sobre sobre SP 0.9978039215686275
