INFORMACIÓN_NACIONAL información_nacional NP00000 1.0
. . Fp 1.0
JUNTA_APROBÓ_ESTA_MADRUGADA_EL_BALANCE junta_aprobó_esta_madrugada_el_balance NP00000 1.0
, , Fc 1.0
CON_CERRADA_OPOSICIÓN_BLANCA_Y_COLORADA con_cerrada_oposición_blanca_y_colorada NP00000 1.0
. . Fp 1.0
En en SP 1.0
la el DA0FS0 0.9892597806068348
sesión sesión NCFS000 1.0
de de SP 0.9999614754213187
anoche anoche RG 1.0
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
Junta_Departamental_de_Montevideo junta_departamental_de_montevideo NP00000 1.0
se se P00CN00 0.494508864850837
aprobó aprobar VMIS3S0 1.0
el el DA0MS0 1.0
Balance balance NP00000 1.0
y y CC 0.9999892786688395
Ajuste_Presupuestal ajuste_presupuestal NP00000 1.0
enviado enviar VMP00SM 0.986111111111111
por por SP 1.0
la el DA0FS0 0.9892597806068348
Intendencia_Municipal intendencia_municipal NP00000 1.0
. . Fp 1.0
Más_allá_de más_allá_de SP 1.0
los el DA0MP0 0.9927281155389451
discursos discurso NCMP000 1.0
de de SP 0.9999614754213187
rigor rigor NCMS000 1.0
y y CC 0.9999892786688395
de de SP 0.9999614754213187
las el DA0FP0 0.9881835086975967
largas largo AQ0FP00 0.9726027397260274
exposiciones exposición NCFP000 1.0
de de SP 0.9999614754213187
motivos motivo NCMP000 0.9924242424242424
de de SP 0.9999614754213187
apoyos apoyo NCMP000 1.0
y y CC 0.9999892786688395
rechazos rechazo NCMP000 1.0
, , Fc 1.0
la el DA0FS0 0.9892597806068348
oposición oposición NCFS000 1.0
radical radical AQ0CS00 0.9918032786885246
y y CC 0.9999892786688395
conjunta conjunto AQ0FS00 0.9901477832512315
de de SP 0.9999614754213187
las el DA0FP0 0.9881835086975967
bancadas bancada NCFP000 1.0
de de SP 0.9999614754213187
los el DA0MP0 0.9927281155389451
partidos partido NCMP000 0.9993297587131368
Nacional nacional NP00000 1.0
y y CC 0.9999892786688395
Colorado colorado NP00000 1.0
se se P00CN00 0.494508864850837
basó basar VMIS3S0 1.0
en en SP 1.0
dos 2 Z 0.9998684556695606
temas tema NCMP000 0.9950495049504952
: : Fd 1.0
la el DA0FS0 0.9892597806068348
falta falta NCFS000 0.8097014925373133
de de SP 0.9999614754213187
cumplimiento cumplimiento NCMS000 1.0
de de SP 0.9999614754213187
las el DA0FP0 0.9881835086975967
obras obra NCFP000 0.9979253112033195
prometidas prometer VMP00PF 0.5637468506140626
en en SP 1.0
el el DA0MS0 1.0
Plan_Quinquenal plan_quinquenal NP00000 1.0
y y CC 0.9999892786688395
la el DA0FS0 0.9892597806068348
profundización profundización NCFS000 1.0
de de SP 1.0
el el DA0MS0 1.0
déficit déficit NCMS000 1.0
, , Fc 1.0
pues pues CS 0.9990494296577946
se se P00CN00 0.494508864850837
agregaron agregar VMIS3P0 1.0
U u NP00000 1.0
$ $ Fz 1.0
S s NP00000 1.0
8.000.000 8000000 Z 1.0
a a SP 0.9987754021314622
los el DA0MP0 0.9927281155389451
25.000.000 25000000 Z 1.0
dejados dejar VMP00PM 1.0
por por SP 1.0
la el DA0FS0 0.9892597806068348
administración administración NCFS000 1.0
anterior anterior AQ0CS00 1.0
. . Fp 1.0
. . Fp 1.0
A a SP 1.0
el el DA0MS0 1.0
iniciar iniciar VMN0000 1.0
la el DA0FS0 0.9892597806068348
sesión sesión NCFS000 1.0
, , Fc 1.0
el el DA0MS0 1.0
Presidente_de_la_Comisión_de_Presupuesto presidente_de_la_comisión_de_presupuesto NP00000 1.0
de de SP 1.0
el el DA0MS0 1.0
cuerpo cuerpo NCMS000 1.0
, , Fc 1.0
Edil_José_Carrasco edil_josé_carrasco NP00000 1.0
, , Fc 1.0
defendió defender VMIS3S0 1.0
la el DA0FS0 0.9892597806068348
gestión gestión NCFS000 1.0
de de SP 1.0
el el DA0MS0 1.0
Intendente_Municipal intendente_municipal NP00000 1.0
, , Fc 1.0
Arq arq NP00000 1.0
. . Fp 1.0
Mariano_Arana mariano_arana NP00000 1.0
, , Fc 1.0
y y CC 0.9999892786688395
fustigó fustigar VMIS3S0 1.0
a a SP 1.0
el el DA0MS0 1.0
gobierno gobierno NCMS000 0.9897264843228819
nacional nacional AQ0CS00 1.0
por por SP 1.0
lo el DA00S0 0.6651648430236716
que que PR0CN00 0.5501392534733338
calificó calificar VMIS3S0 1.0
de de SP 0.9999614754213187
" " Fe 1.0
actitud actitud NCFS000 1.0
discriminatoria discriminatorio AQ0FS00 1.0
en_contra_de en_contra_de SP 1.0
la el DA0FS0 0.9892597806068348
comuna comuna NCFS000 1.0
capitalina capitalino AQ0FS00 1.0
" " Fe 1.0
. . Fp 1.0
En en SP 1.0
una uno DI0FS0 0.9519732400417357
interrupción interrupción NCFS000 1.0
, , Fc 1.0
Mario_Linzo mario_linzo NP00000 1.0
, , Fc 1.0
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
15 15 Z 1.0
colorada colorar VMP00SF 1.0
, , Fc 1.0
advirtió advertir VMIS3S0 1.0
que que CS 0.5501392534733338
la el DA0FS0 0.9892597806068348
última último AO0FS00 1.0
administración administración NCFS000 1.0
comunal comunal AQ0CS00 1.0
colorada colorar VMP00SF 1.0
( ( Fpa 1.0
1985-90 1985-90 Z 1.0
) ) Fpt 1.0
también también RG 1.0
pagó pagar VMIS3S0 1.0
a a SP 1.0
el el DA0MS0 1.0
gobierno gobierno NCMS000 0.9897264843228819
