EDITORIAL editorial NCCS000 0.7423312883435582
. . Fp 1.0
LLAMANDO_A_LA_URGENCIA llamando_a_la_urgencia NP00000 1.0
... ... Fs 1.0
SI_TODAVÍA_QUEDA_ALGUNA_AMBULANCIA si_todavía_queda_alguna_ambulancia NP00000 1.0
. . Fp 1.0
Pocos poco DI0MP0 0.7369668246445498
días día NCMP000 1.0
antes_de antes_de SP 1.0
la el DA0FS0 0.9892597806068348
jornada jornada NCFS000 1.0
electoral electoral AQ0CS00 1.0
de de SP 0.9999614754213187
noviembre [??:??/11/??:??.??:??] W 1.0
, , Fc 1.0
escribimos escribir VMIS1P0 0.5094641760953413
una uno DI0FS0 0.9519732400417357
nota nota NCFS000 0.8750000000000001
referida referir VMP00SF 1.0
a a SP 1.0
el el DA0MS0 1.0
acuerdo acuerdo NCMS000 0.9993112947658402
que que PR0CN00 0.5501392534733338
blancos blanco AQ0MP00 0.5
y y CC 0.9999892786688395
colorados colorar VMP00PM 1.0
habían haber VAII3P0 0.9988399071925753
alcanzado alcanzar VMP00SM 1.0
para para SP 0.9998335884976369
que que CS 0.5501392534733338
el el DA0MS0 1.0
Partido_Nacional partido_nacional NP00000 1.0
le le PP3CSD0 1.0
diera dar VMSI3S0 0.6499955675939924
la el DA0FS0 0.9892597806068348
victoria victoria NCFS000 0.9989816700610997
a a SP 1.0
el el DA0MS0 1.0
Partido_Colorado partido_colorado NP00000 1.0
. . Fp 1.0
. . Fp 1.0
Manifestábamos manifestar VMII1P0 1.0
entonces entonces RG 0.9982030548068284
que que CS 0.5501392534733338
de de SP 0.9999614754213187
todos todo DI0MP0 0.7066496977410117
los el DA0MP0 0.9927281155389451
puntos punto NCMP000 1.0
acordados acordar VMP00PM 1.0
de de SP 0.9999614754213187
alguna alguno DI0FS0 0.8202846975088968
importancia importancia NCFS000 1.0
, , Fc 1.0
ninguno ninguno PI0MS00 0.9965753424657535
se se P00CN00 0.494508864850837
refería referir VMII3S0 0.6499999999990611
a a SP 1.0
el el DA0MS0 1.0
sector sector NCMS000 1.0
salud salud NCFS000 1.0
y y CC 0.9999892786688395
que que PR0CN00 0.5501392534733338
nos nos PP1CP00 0.8102583879676051
parecía parecer VMII3S0 0.6499999917645649
una uno DI0FS0 0.9519732400417357
barbaridad barbaridad NCFS000 1.0
que que PR0CN00 0.5501392534733338
este este DD0MS0 0.9492011470708727
tema tema NCMS000 0.9930875576036867
no no RN 0.9992965295457591
ocupara ocupar VMSI3S0 0.6491763605141718
un uno DI0MS0 0.9969803144161175
lugar lugar NCMS000 1.0
relevante relevante AQ0CS00 1.0
. . Fp 1.0
. . Fp 1.0
Pasó pasar VMIS3S0 1.0
noviembre [??:??/11/??:??.??:??] W 1.0
, , Fc 1.0
efectivamente efectivamente RG 1.0
el el DA0MS0 1.0
doctor doctor NCMS000 1.0
Batlle batlle NP00000 1.0
llegó llegar VMIS3S0 1.0
a a SP 0.9987754021314622
la el DA0FS0 0.9892597806068348
Presidencia presidencia NP00000 1.0
con con SP 1.0
los el DA0MP0 0.9927281155389451
votos voto NCMP000 1.0
blancos blanco AQ0MP00 0.5
, , Fc 1.0
y y CC 0.9999892786688395
hoy hoy RG 0.9938641125411554
60_días TM_d:60 Zu 1.0
después_de después_de SP 1.0
su su DP3CSN 1.0
asunción asunción NCFS000 1.0
ha haber VAIP3S0 0.9998889074043215
sido ser VSP00SM 1.0
enviada enviar VMP00SF 0.6237468445634057
a a SP 1.0
el el DA0MS0 1.0
Parlamento parlamento NP00000 1.0
la el DA0FS0 0.9892597806068348
llamada llamar VMP00SF 0.5198412698412699
ley ley NCFS000 1.0
de de SP 0.9999614754213187
urgencia urgencia NCFS000 1.0
, , Fc 1.0
expresión expresión NCFS000 1.0
legislativa legislativo AQ0FS00 1.0
