SINDICALES sindical AQ0CP00 0.9901477832512315
. . Fp 1.0
M.S._P m.s._p NP00000 1.0
. . Fp 1.0
DR._JEKILL_O_MR._HYDE dr._jekill_o_mr._hyde NP00000 1.0
. . Fp 1.0
Sandra_M. sandra_m. NP00000 1.0
. . Fp 1.0
El el DA0MS0 1.0
13/7/2000 [??:13/7/2000:??.??:??] W 1.0
el el DA0MS0 1.0
Poder_Ejecutivo poder_ejecutivo NP00000 1.0
firma firmar VMIP3S0 0.9779005524861879
un uno DI0MS0 0.9969803144161175
decreto decreto NCMS000 0.994186046511628
que que PR0CN00 0.5501392534733338
deroga derogar VMIP3S0 0.9892250768082589
otro otro PI0MS00 0.6585014409221902
de de SP 1.0
el el DA0MS0 1.0
10/10/98 [??:10/10/1998:??.??:??] W 1.0
, , Fc 1.0
a a SP 1.0
el el DA0MS0 1.0
cual cual PR0CS00 0.9307432432432432
se se P00CN00 0.494508864850837
había haber VAII3S0 0.4998525943396227
llegado llegar VMP00SM 1.0
luego_de luego_de SP 1.0
un uno DI0MS0 0.9969803144161175
trabajoso trabajoso AQ0MS00 1.0
acuerdo acuerdo NCMS000 0.9993112947658402
entre entre SP 0.9803409403354414
varias varios DI0FP0 0.9663093415007658
instituciones institución NCFP000 1.0
de de SP 1.0
el el DA0MS0 1.0
Estado estado NP00000 1.0
: : Fd 1.0
MSP msp NP00000 1.0
, , Fc 1.0
BPS bps NP00000 1.0
, , Fc 1.0
OPP opp NP00000 1.0
, , Fc 1.0
MTSS mtss NP00000 1.0
, , Fc 1.0
MEF mef NP00000 1.0
, , Fc 1.0
Comisiones_de_Salud_de_el_Senado comisiones_de_salud_de_el_senado NP00000 1.0
y y CC 0.9999892786688395
Diputados diputados NP00000 1.0
; ; Fx 1.0
y y CC 0.9999892786688395
que que PR0CN00 0.5501392534733338
remedia remediar VMIP3S0 0.9715945002877784
en en SP 1.0
parte parte NCCS000 0.9777111015859408
una uno DI0FS0 0.9519732400417357
situación situación NCFS000 1.0
irregular irregular AQ0CS00 1.0
en en SP 1.0
las el DA0FP0 0.9881835086975967
relaciones relación NCFP000 0.9981549815498155
de de SP 0.9999614754213187
trabajo trabajo NCMS000 0.9757683215130024
de de SP 0.9999614754213187
más más RG 0.9999299817952667
de de SP 0.9999614754213187
4.000 4000 Z 1.0
funcionarios funcionario NCMP000 1.0
de de SP 1.0
el el DA0MS0 1.0
Estado estado NP00000 1.0
, , Fc 1.0
específicamente específicamente RG 1.0
de de SP 1.0
el el DA0MS0 1.0
MSP msp NP00000 1.0
. . Fp 1.0
. . Fp 1.0
Por por SP 1.0
aquel aquel DD0MS0 0.8791469194312796
decreto decreto NCMS000 0.994186046511628
de de SP 1.0
el el DA0MS0 1.0
' ' Fe 1.0
98 98 Z 1.0
, , Fc 1.0
estos este DD0MP0 0.9720087815587267
trabajadores trabajador NCMP000 0.9986702127659574
que que PR0CN00 0.5501392534733338
desde desde SP 1.0
hacia hacia SP 1.0
años año NCMP000 1.0
cumplían cumplir VMII3P0 1.0
funciones función NCFP000 0.994186046511628
en en SP 1.0
diferentes diferente DI0CP0 0.5171821305841925
CTI cti NP00000 1.0
, , Fc 1.0
puertas puerta NCFP000 1.0
de de SP 0.9999614754213187
emergencia emergencia NCFS000 1.0
, , Fc 1.0
o o CC 0.9998636115657392
servicios servicio NCMP000 1.0
de de SP 0.9999614754213187
urgencia urgencia NCFS000 1.0
móviles móvil AQ0CP00 0.5961538461538461
de de SP 0.9999614754213187
diferentes diferente DI0CP0 0.5171821305841925
servicios servicio NCMP000 1.0
de de SP 1.0
