EDITORIAL editorial NCCS000 0.7423312883435582
. . Fp 1.0
" " Fe 1.0
A a SP 0.9987754021314622
LOS_BLANCOS_NO_NOS_MANDA_NADIE los_blancos_no_nos_manda_nadie NP00000 1.0
" " Fe 1.0
. . Fp 1.0
Daniel_Soares_de_Lima daniel_soares_de_lima NP00000 1.0
. . Fp 1.0
La el DA0FS0 0.9892597806068348
frase frase NCFS000 1.0
de de SP 1.0
el el DA0MS0 1.0
título título NCMS000 1.0
, , Fc 1.0
que que PR0CN00 0.5501392534733338
por por SP 1.0
cierto cierto AQ0MS00 0.7436440677966102
, , Fc 1.0
no no RN 0.9992965295457591
nos nos PP1CP00 0.8102583879676051
pertenece pertenecer VMIP3S0 0.9910714285714286
, , Fc 1.0
fue ser VSIS3S0 0.9807386182744349
pronunciada pronunciar VMP00SF 1.0
en en SP 1.0
su su DP3CSN 1.0
época época NCFS000 1.0
y y CC 0.9999892786688395
bajo bajo SP 0.9091787439613526
determinadas determinar VMP00PF 1.0
circunstancias circunstancia NCFP000 1.0
que que PR0CN00 0.5501392534733338
no no RN 0.9992965295457591
vienen venir VMIP3P0 1.0
a a SP 1.0
el el DA0MS0 1.0
caso caso NCMS000 0.9994450610432852
ahora ahora RG 1.0
, , Fc 1.0
por por SP 1.0
el el DA0MS0 1.0
Dr._Luis_Alberto_de_Herrera dr._luis_alberto_de_herrera NP00000 1.0
. . Fp 1.0
Creemos creer VMIP1P0 0.9726027397260274
que que CS 0.5501392534733338
puede poder VMIP3S0 0.9996934396076028
resultar resultar VMN0000 1.0
de de SP 0.9999614754213187
utilidad utilidad NCFS000 1.0
, , Fc 1.0
y y CC 0.9999892786688395
sobre sobre SP 0.9978039215686275
todo todo DI0MS0 0.6662003357582541
oportuno oportuno AQ0MS00 1.0
el el DA0MS0 1.0
momento momento NCMS000 1.0
, , Fc 1.0
para para SP 0.9998335884976369
analizar analizar VMN0000 1.0
en en SP 1.0
profundidad profundidad NCFS000 1.0
el el DA0MS0 1.0
significado significado NCMS000 0.5694444444444444
genérico genérico AQ0MS00 1.0
de de SP 0.9999614754213187
dichas decir VMP00PF 0.9807692307692306
palabras palabra NCFP000 1.0
. . Fp 1.0
. . Fp 1.0
Cuando cuando CS 0.862979855568225
el el DA0MS0 1.0
Dr._Herrera dr._herrera NP00000 1.0
expresó expresar VMIS3S0 1.0
el el DA0MS0 1.0
aserto aserto NCMS000 1.0
antes antes RG 1.0
mencionado mencionar VMP00SM 1.0
, , Fc 1.0
eran ser VSII3P0 0.9984177215189873
otros otro DI0MP0 0.7459777227722773
los el DA0MP0 0.9927281155389451
tiempos tiempo NCMP000 1.0
que que PR0CN00 0.5501392534733338
corrían correr VMII3P0 1.0
, , Fc 1.0
y y CC 0.9999892786688395
otro otro DI0MS0 0.6585014409221902
el el DA0MS0 1.0
contexto contexto NCMS000 1.0
; ; Fx 1.0
pero pero CC 0.9999015941743751
como como CS 0.9671530369867661
ya ya RG 0.9997850386930354
dijimos decir VMIS1P0 1.0
antes antes RG 1.0
creemos creer VMIP1P0 0.9726027397260274
firmemente firmemente RG 1.0
, , Fc 1.0
que que PR0CN00 0.5501392534733338
lo lo PP3MSA0 0.6651648430236716
fundamental fundamental AQ0CS00 1.0
, , Fc 1.0
más_allá_de más_allá_de SP 1.0
el el DA0MS0 1.0
día día NCMS000 1.0
, , Fc 1.0
hora hora NCFS000 1.0
y y CC 0.9999892786688395
motivo motivo NCMS000 0.9923954372623575
es ser VSIP3S0 1.0
la el DA0FS0 0.9892597806068348
razón razón NCFS000 1.0
, , Fc 1.0
y y CC 0.9999892786688395
la el DA0FS0 0.9892597806068348
convicción convicción NCFS000 1.0
profunda profundo AQ0FS00 0.9784946236559139
que que PR0CN00 0.5501392534733338
llevaron llevar VMIS3P0 1.0
a a SP 0.9987754021314622
que que CS 0.5501392534733338
el el DA0MS0 1.0
obstinado obstinar VMP00SM 1.0
luchador luchador NCMS000 0.6069694272194106
a a SP 0.9987754021314622
pronunciar pronunciar VMN0000 1.0
esas ese DD0FP0 0.8690036900369004
palabras palabra NCFP000 1.0
, , Fc 1.0
que que PR0CN00 0.5501392534733338
no no RN 0.9992965295457591
resultaban resultar VMII3P0 1.0
fáciles fácil AQ0CP00 1.0
de de SP 0.9999614754213187
comprender comprender VMN0000 1.0
, , Fc 1.0
para para SP 0.9998335884976369
quienes quien PR0CP00 1.0
no no RN 0.9992965295457591
manejaban manejar VMII3P0 1.0
cierta cierto DI0FS0 0.7747252747252747
escala escala NCFS000 0.9890710382513661
de de SP 0.9999614754213187
valores valor NCMP000 0.9976303317535544
. . Fp 1.0
. . Fp 1.0
Resulta resultar VMIP3S0 0.9907407407407408
evidente evidente AQ0CS00 1.0
, , Fc 1.0
que que CS 0.5501392534733338
un uno DI0MS0 0.9969803144161175
hombre hombre NCMS000 0.9901079136690647
que que PR0CN00 0.5501392534733338
dejó dejar VMIS3S0 1.0
un uno DI0MS0 0.9969803144161175
cómodo cómodo AQ0MS00 1.0
y y CC 0.9999892786688395
bien bien RG 0.8760880696364567
remunerado remunerar VMP00SM 1.0
cargo cargo NCMS000 0.9980842911877394
en en SP 1.0
el el DA0MS0 1.0
exterior exterior NCMS000 0.7164502164502164
( ( Fpa 1.0
EEUU eeuu NP00000 1.0
) ) Fpt 1.0
para para SP 0.9998335884976369
venir venir VMN0000 1.0
a a SP 0.9987754021314622
sumarse sumar VMN0000 1.0
a a SP 0.9987754021314622
las el DA0FP0 0.9881835086975967
huestes hueste NCFP000 1.0
guerrilleras guerrillero AQ0FP00 0.5112938438014748
de de SP 1.0
el el DA0MS0 1.0
general general AQ0CS00 0.8262124711316398
Aparicio_Saravia aparicio_saravia NP00000 1.0
, , Fc 1.0
no no RN 0.9992965295457591
lo lo PP3MSA0 0.6651648430236716
haría hacer VMIC3S0 0.6499931432553294
por por SP 1.0
capricho capricho NCMS000 1.0
, , Fc 1.0
ni ni CC 0.8348527349228612
por por SP 1.0
un uno DI0MS0 0.9969803144161175
arrebato arrebato NCMS000 0.9897264843201321
, , Fc 1.0
sino sino CC 0.9991539763113366
por por SP 1.0
una uno DI0FS0 0.9519732400417357
muy muy RG 1.0
profunda profundo AQ0FS00 0.9784946236559139
convicción convicción NCFS000 1.0
a a SP 0.9987754021314622
la el DA0FS0 0.9892597806068348
cual cual PR0CS00 0.9307432432432432
, , Fc 1.0
sin sin SP 1.0
duda duda NCFS000 0.7254901960784313
, , Fc 1.0
arribó arribar VMIS3S0 1.0
luego_de luego_de SP 1.0
largas largo AQ0FP00 0.9726027397260274
meditaciones meditación NCFP000 1.0
con con SP 1.0
su su DP3CSN 1.0
ser ser NCMS000 0.959636517328825
interior interior AQ0CS00 0.5441632024223628
. . Fp 1.0
. . Fp 1.0
Aquel aquel DD0MS0 0.8791469194312796
hombre hombre NCMS000 0.9901079136690647
sentía sentir VMII3S0 0.6499999999949702
la el DA0FS0 0.9892597806068348
libertad libertad NCFS000 0.9981884057971014
interior interior AQ0CS00 0.5441632024223628
suficiente suficiente AQ0CS00 0.9939939939939941
, , Fc 1.0
que que PR0CN00 0.5501392534733338
lo lo PP3MSA0 0.6651648430236716
impulsó impulsar VMIS3S0 1.0
a a SP 0.9987754021314622
retornar retornar VMN0000 1.0
a a SP 0.9987754021314622
esta este DD0FS0 0.9788165266106442
su su DP3CSN 1.0
tierra tierra NCFS000 1.0
, , Fc 1.0
y y CC 0.9999892786688395
salir salir VMN0000 1.0
" " Fe 1.0
campo campo NCMS000 0.9986702127659574
afuera afuera RG 0.4761546747643237
" " Fe 1.0
, , Fc 1.0
a a SP 0.9987754021314622
pasar pasar VMN0000 1.0
mal mal RG 0.43499197431781705
, , Fc 1.0
arriesgando arriesgar VMG0000 1.0
su su DP3CSN 1.0
propia propio AQ0FS00 1.0
vida vida NCFS000 1.0
, , Fc 1.0
pero pero CC 0.9999015941743751
eso ese PD00S00 1.0
sí sí RG 0.6546521374685667
, , Fc 1.0
junto_a junto_a SP 1.0
quienes quien PR0CP00 1.0
compartían compartir VMII3P0 1.0
su su DP3CSN 1.0
sentir sentir NCMS000 0.9910714285714286
y y CC 0.9999892786688395
su su DP3CSN 1.0
concepto concepto NCMS000 1.0
de de SP 0.9999614754213187
