SOCIEDAD sociedad NP00000 0.5271202373762571
. . Fp 1.0
1.500.000 1500000 Z 1.0
uruguayos uruguayo NCMP000 0.5112938653835601
consumieron consumir VMIS3P0 1.0
alguna alguno DI0FS0 0.8202846975088968
vez vez NCFS000 1.0
pastillas pastilla NCFP000 1.0
para para SP 0.9998335884976369
poder poder VMN0000 0.6065246338215713
dormir dormir VMN0000 1.0
, , Fc 1.0
por por SP 1.0
ignorar ignorar VMN0000 1.0
los el DA0MP0 0.9927281155389451
secretos secreto NCMP000 0.5980392156862745
de de SP 0.9999614754213187
Morfeo morfeo NP00000 1.0
. . Fp 1.0
SOÑAR_NO_CUESTA_NADA soñar_no_cuesta_nada NP00000 1.0
. . Fp 1.0
Una uno PI0FS00 0.9519732400417357
, , Fc 1.0
dos 2 Z 0.9998684556695606
, , Fc 1.0
tres 3 Z 1.0
, , Fc 1.0
cuatro 4 Z 1.0
, , Fc 1.0
cinco 5 Z 0.9994541484716157
, , Fc 1.0
seis 6 Z 1.0
, , Fc 1.0
siete 7 Z 1.0
... ... Fs 1.0
¡ ¡ Faa 1.0
Hasta hasta SP 0.922749391727494
cuándo cuándo PT00000 0.9910714285714286
! ! Fat 1.0
El el DA0MS0 1.0
método método NCMS000 1.0
de de SP 0.9999614754213187
contar contar VMN0000 1.0
ovejas oveja NCFP000 1.0
para para SP 0.9998335884976369
conciliar conciliar VMN0000 0.9534883720930232
el el DA0MS0 1.0
sueño sueño NCMS000 0.9952830188679246
no no RN 0.9992965295457591
parece parecer VMIP3S0 0.9990019960079839
siempre siempre RG 1.0
ser ser VSN0000 0.959636517328825
efectivo efectivo AQ0MS00 0.7816901408450705
. . Fp 1.0
Mejor mejor RG 0.7869492470719464
nos nos PP1CP00 0.8102583879676051
tomamos tomar VMIP1P0 0.6499999952048054
una uno DI0FS0 0.9519732400417357
buena bueno AQ0FS00 1.0
pastilla pastilla NCFS000 1.0
y y CC 0.9999892786688395
chau chau I 1.0
. . Fp 1.0
Pero pero CC 0.9999015941743751
no no RN 0.9992965295457591
siempre siempre RG 1.0
eso ese PD00S00 1.0
ayuda ayuda NCFS000 0.9635157545605307
y y CC 0.9999892786688395
no no RN 0.9992965295457591
dejamos dejar VMIP1P0 0.649999999999997
de de SP 0.9999614754213187
" " Fe 1.0
hacernos hacer VMN0000 1.0
