INFORMACIÓN información NP00000 0.5271202373762571
. . Fp 1.0
En en SP 1.0
los el DA0MP0 0.9927281155389451
primeros 1 AO0MP00 1.0
ocho 8 Z 1.0
meses mes NCMP000 0.9994356659142213
de de SP 1.0
el el DA0MS0 1.0
año año NCMS000 1.0
, , Fc 1.0
los el DA0MP0 0.9927281155389451
salarios salario NCMP000 1.0
reales real AQ0CP00 0.8409090909090909
aumentaron aumentar VMIS3P0 1.0
un uno DI0MS0 0.9969803144161175
1,3_% 1.3/100 Zp 1.0
impulsados impulsar VMP00PM 1.0
por por SP 1.0
los el DA0MP0 0.9927281155389451
de de SP 1.0
el el DA0MS0 1.0
Sector_Público sector_público NP00000 1.0
que que PR0CN00 0.5501392534733338
crecieron crecer VMIS3P0 1.0
4,1_% 4.1/100 Zp 1.0
en en SP 1.0
dicho decir VMP00SM 0.9971590909090908
período período NCMS000 1.0
. . Fp 1.0
. . Fp 1.0
LOS_SALARIOS_REALES_AUMENTARON los_salarios_reales_aumentaron NP00000 1.0
4,8_% 4.8/100 Zp 1.0
EN_LOS_ÚLTIMOS en_los_últimos NP00000 1.0
DOCE 12 Z 1.0
MESES meses NP00000 1.0
. . Fp 1.0
El el DA0MS0 1.0
Indice_Medio_de_Salarios indice_medio_de_salarios NP00000 1.0
( ( Fpa 1.0
IMS ims NP00000 1.0
) ) Fpt 1.0
de de SP 1.0
el el DA0MS0 1.0
mes_de_agosto [??:??/8/??:??.??:??] W 1.0
con con SP 1.0
base base NCCS000 0.9637223974763407
en en SP 1.0
el el DA0MS0 1.0
mes_de_diciembre_de_1995 [??:??/12/1995:??.??:??] W 1.0
fue ser VSIS3S0 0.9807386182744349
118,07 118.07 Z 1.0
para para SP 0.9998335884976369
el el DA0MS0 1.0
total total NCMS000 0.5946969696969697
de de SP 1.0
el el DA0MS0 1.0
país país NCMS000 1.0
. . Fp 1.0
Para para SP 0.9998335884976369
el el DA0MS0 1.0
Sector_Público sector_público NP00000 1.0
este este DD0MS0 0.9492011470708727
índice índice NCMS000 1.0
llegó llegar VMIS3S0 1.0
en en SP 1.0
el el DA0MS0 1.0
octavo 8 AO0MS00 0.9784946236559139
mes mes NCMS000 1.0
de de SP 1.0
el el DA0MS0 1.0
año año NCMS000 1.0
a a SP 0.9987754021314622
121,38 121.38 Z 1.0
y y CC 0.9999892786688395
116,67 116.67 Z 1.0
para para SP 0.9998335884976369
