POR_OTRA_PARTE por_otra_parte NP00000 1.0
. . Fp 1.0
EL_REY_LEAR el_rey_lear NP00000 1.0
. . Fp 1.0
" " Fe 1.0
En en SP 1.0
estos este DD0MP0 0.9720087815587267
tiempos tiempo NCMP000 1.0
los el DA0MP0 0.9927281155389451
locos loco NCMP000 0.8225806451612903
son ser VSIP3P0 0.9951967063129004
lazarillos lazarillo NCMP000 1.0
de de SP 0.9999614754213187
los el DA0MP0 0.9927281155389451
ciegos ciego NCMP000 0.6611539614239226
" " Fe 1.0
. . Fp 1.0
El el DA0MS0 1.0
estreno estreno NCMS000 0.9910714285714286
de de SP 0.9999614754213187
" " Fe 1.0
El el DA0MS0 1.0
rey rey NCMS000 1.0
Lear lear NP00000 1.0
" " Fe 1.0
de de SP 0.9999614754213187
William_Shakespeare william_shakespeare NP00000 1.0
, , Fc 1.0
con con SP 1.0
dirección dirección NCFS000 1.0
de de SP 0.9999614754213187
Eduardo_Schinca eduardo_schinca NP00000 1.0
, , Fc 1.0
vuelve volver VMIP3S0 0.993421052631579
a a SP 0.9987754021314622
poner poner VMN0000 1.0
en en SP 1.0
el el DA0MS0 1.0
tapete tapete NCMS000 0.9882022471818974
un uno DI0MS0 0.9969803144161175
viejo viejo AQ0MS00 0.993421052631579
asunto asunto NCMS000 1.0
de de SP 0.9999614754213187
interpretación interpretación NCFS000 1.0
. . Fp 1.0
¿ ¿ Fia 1.0
Lear lear NP00000 1.0
es ser VSIP3S0 1.0
un uno DI0MS0 0.9969803144161175
símbolo símbolo NCMS000 1.0
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
Humanidad humanidad NP00000 1.0
que que PR0CN00 0.5501392534733338
alcanza alcanzar VMIP3S0 0.994186046511628
, , Fc 1.0
en en SP 1.0
la el DA0FS0 0.9892597806068348
vejez vejez NCFS000 1.0
y y CC 0.9999892786688395
el el DA0MS0 1.0
dolor dolor NCMS000 1.0
, , Fc 1.0
la el DA0FS0 0.9892597806068348
sabiduría sabiduría NCFS000 1.0
final final AQ0CS00 0.6342975206611571
y y CC 0.9999892786688395
la el DA0FS0 0.9892597806068348
redención redención NCFS000 1.0
? ? Fit 1.0
Esta este PD0FS00 0.9788165266106442
es ser VSIP3S0 1.0
la el DA0FS0 0.9892597806068348
lectura lectura NCFS000 1.0
a a SP 0.9987754021314622
la el DA0FS0 0.9892597806068348
que que PR0CN00 0.5501392534733338
la el DA0FS0 0.9892597806068348
puesta puesta NCFS000 0.6339285714285714
parece parecer VMIP3S0 0.9990019960079839
adscribir adscribir VMN0000 1.0
. . Fp 1.0
Pero pero CC 0.9999015941743751
otro otro DI0MS0 0.6585014409221902
sector sector NCMS000 1.0
de de SP 1.0
el el DA0MS0 1.0
pensamiento pensamiento NCMS000 1.0
y y CC 0.9999892786688395
los el DA0MP0 0.9927281155389451
lectores lector NCMP000 0.9838709677419354
sienten sentir VMIP3P0 0.9534883720930232
que que CS 0.5501392534733338
las el DA0FP0 0.9881835086975967
baterías batería NCCP000 1.0
shakesperianas shakesperianas AQ0FP00 0.7663971934167172
apuntan apuntar VMIP3P0 1.0
, , Fc 1.0
en en SP 1.0
esta este DD0FS0 0.9788165266106442
tragedia tragedia NCFS000 1.0
, , Fc 1.0
a a SP 0.9987754021314622
un uno DI0MS0 0.9969803144161175
" " Fe 1.0
asunto asunto NCMS000 1.0
oscuro oscuro AQ0MS00 1.0
" " Fe 1.0
, , Fc 1.0
en en SP 1.0
el el DA0MS0 1.0
decir decir VMN0000 0.9985754985754984
de de SP 1.0
el el DA0MS0 1.0
propio propio AQ0MS00 0.9985754985754984
protagonista protagonista NCCS000 0.9504504504504505
. . Fp 1.0
. . Fp 1.0
María_Esther_Burgueño maría_esther_burgueño NP00000 1.0
. . Fp 1.0
Es ser VSIP3S0 1.0
buen bueno AQ0MS00 1.0
momento momento NCMS000 1.0
para para SP 0.9998335884976369
rever rever VMN0000 1.0
posiciones posición NCFP000 0.9952830188679246
que que PR0CN00 0.5501392534733338
permitan permitir VMSP3P0 0.9901960784313726
calibrar calibrar VMN0000 1.0
la el DA0FS0 0.9892597806068348
multiplicidad multiplicidad NCFS000 1.0
de de SP 0.9999614754213187
abordajes abordaje NCMP000 1.0
de de SP 1.0
el el DA0MS0 1.0
alma alma NCFS000 1.0
humana humano AQ0FS00 0.984536082474227
ocultas oculto AQ0FP00 0.9822335025375848
en en SP 1.0
cada cada DI0CS0 1.0
una uno PI0FS00 0.9519732400417357
de de SP 0.9999614754213187
las el DA0FP0 0.9881835086975967
obras obra NCFP000 0.9979253112033195
de de SP 1.0
el el DA0MS0 1.0
más más RG 0.9999299817952667
grande grande AQ0CS00 0.9961832061068703
dramaturgo dramaturgo NCMS000 1.0
de de SP 0.9999614754213187
siempre siempre RG 1.0
. . Fp 1.0
. . Fp 1.0
Qué qué PT00000 0.7125134843581445
significa significar VMIP3S0 0.9965753424657535
elegir elegir VMN0000 1.0
una uno DI0FS0 0.9519732400417357
hija hijo NCFS000 1.0
. . Fp 1.0
Es ser VSIP3S0 1.0
ya ya RG 0.9997850386930354
célebre célebre AQ0CS00 1.0
el el DA0MS0 1.0
trabajo trabajo NCMS000 0.9757683215130024
de de SP 0.9999614754213187
Freud freud NP00000 1.0
de de SP 0.9999614754213187
1913 1913 Z 1.0
" " Fe 1.0
El el DA0MS0 1.0
motivo motivo NCMS000 0.9923954372623575
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
elección elección NCFS000 1.0
de de SP 0.9999614754213187
los el DA0MP0 0.9927281155389451
tres 3 Z 1.0
cofres cofre NCMP000 1.0
" " Fe 1.0
en en SP 1.0
el el DA0MS0 1.0
cual cual PR0CS00 0.9307432432432432
parte parte NCCS000 0.9777111015859408
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
escena escena NCFS000 1.0
inicial inicial AQ0CS00 0.8385416666666667
de de SP 0.9999614754213187
Lear lear NP00000 1.0
para para SP 0.9998335884976369
vincularla vincular VMN0000 1.0
con con SP 1.0
un uno DI0MS0 0.9969803144161175
motivo motivo NCMS000 0.9923954372623575
de de SP 0.9999614754213187
los el DA0MP0 0.9927281155389451
cuentos cuento NCMP000 1.0
populares popular AQ0CP00 1.0
: : Fd 1.0
la el DA0FS0 0.9892597806068348
obligación obligación NCFS000 1.0
de de SP 0.9999614754213187
elegir elegir VMN0000 1.0
entre entre SP 0.9803409403354414
tres 3 Z 1.0
cofres cofre NCMP000 1.0
y y CC 0.9999892786688395
la el DA0FS0 0.9892597806068348
opción opción NCFS000 1.0
por por SP 1.0
el el DA0MS0 1.0
tercero 3 AO0MS00 0.993421052631579
y y CC 0.9999892786688395
, , Fc 1.0
cualitativamente cualitativamente RG 1.0
